,Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count_y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
10,5229-PRWKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
11,1764-VUUMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction
12,7531-GQHME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
13,4377-VDHYI,1.0,Male,50.0,No,No,Yes,Yes,3.0,1.0,United States,California,Fremont,94538.0,"37.505768, -121.962472",37.505767999999996,-121.96247199999999,4.0,1.0,Q3,Yes,5.0,35.0,Offer C,Yes,1.53,No,Yes,Fiber Optic,57.0,No,Yes,No,Yes,Yes,,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0.0,0.0,,3219.15,No Churn
14,7516-GMHUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
15,5197-PYEPU,,Female,64.0,No,No,Yes,No,0.0,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,,2.0,1.0,,Yes,,40.0,Offer B,Yes,2.03,Yes,,Fiber Optic,19.0,No,No,,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0.0,0.0,81.19999999999997,3384.25,Competitor
16,2120-SMPEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction
17,0496-AHOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Competitor
18,2805-AUFQN,,,50.0,No,No,No,No,0.0,,United States,California,,95630.0,"38.672638, -121.147403",38.672638,-121.147403,5.0,,Q3,No,,28.0,Offer C,Yes,13.69,No,,Fiber Optic,12.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,91.25,,0.0,0.0,383.32,2866.9700000000007,No Churn
19,0841-NULXI,1.0,,28.0,Yes,No,Yes,Yes,,1.0,United States,,Colfax,95713.0,"39.084645, -120.894014",39.084645,-120.89401399999998,3.0,1.0,Q3,Yes,1.0,71.0,Offer A,Yes,20.49,,No,None,0.0,No,No,No,No,No,No,No,,Two Year,,Credit Card,,1397.3,0.0,0.0,1454.79,2852.09,No Churn
20,0263-FJTQO,,Female,63.0,,No,No,,0.0,1.0,United States,California,Manteca,95336.0,"37.830267, -121.201018",,-121.20101799999999,3.0,1.0,Q3,,0.0,60.0,Offer B,Yes,39.41,Yes,No,,0.0,No,No,No,,No,No,No,No,,No,Mailed Check,25.0,1505.05,0.0,0.0,2364.6,3869.65,No Churn
21,3280-NMUVX,,,,,,,,,,,,,,,,,4.0,1.0,Q3,No,0.0,,,Yes,47.45,Yes,,DSL,5.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0.0,0.0,806.6500000000002,1917.85,No Churn
22,1820-TQVEV,1.0,Female,74.0,No,Yes,Yes,No,0.0,1.0,United States,California,Los Olivos,93441.0,"34.70434, -120.02609",,-120.02609,4.0,1.0,Q3,Yes,2.0,,None,Yes,12.33,,Yes,Cable,23.0,No,,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,64.2,2106.3,0.0,0.0,419.22,2525.5200000000004,No Churn
23,1100-DDVRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
24,9779-DPNEJ,1.0,Female,65.0,No,Yes,No,,0.0,1.0,United States,California,,,"40.524535, -122.647172",40.524535,-122.647172,,,,No,0.0,46.0,None,Yes,16.04,Yes,Yes,DSL,26.0,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,,69.1,3255.35,0.0,0.0,737.8399999999998,3993.19,No Churn
25,8409-WQJUX,1.0,Male,73.0,No,Yes,Yes,No,0.0,1.0,,California,Placentia,92870.0,"33.881158, -117.854783",33.881158,-117.85478300000001,3.0,,Q3,Yes,10.0,72.0,Offer A,,,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,93.05,6735.05,0.0,0.0,96.48,6831.53,No Churn
26,7493-TPUWZ,,Male,77.0,No,Yes,Yes,No,0.0,1.0,United States,California,Menifee,,"33.653338, -117.178271",33.653338,-117.178271,5.0,1.0,Q3,Yes,1.0,29.0,Offer C,Yes,,Yes,Yes,DSL,,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,,1442.0,0.0,0.0,,2533.85,No Churn
27,1135-HIORI,,,,,,,,,1.0,,California,French Camp,95231.0,"37.873283, -121.292034",37.873283,-121.29203400000002,4.0,1.0,,No,0.0,,Offer E,Yes,30.8,No,Yes,DSL,27.0,No,Yes,No,Yes,Yes,No,No,Yes,,Yes,Bank Withdrawal,,520.95,0.0,0.0,,767.35,No Churn
28,6230-BSUXY,1.0,,34.0,,No,No,No,,1.0,United States,California,Mission Viejo,92692.0,"33.60693, -117.644253",33.60693,-117.644253,3.0,1.0,Q3,No,0.0,1.0,,Yes,2.24,No,Yes,Fiber Optic,6.0,No,No,,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0.0,,2.24,,Competitor
29,9667-EQRXU,,,,,,,,,1.0,United States,California,Artesia,90701.0,,33.867593,-118.08063700000001,,1.0,Q3,Yes,2.0,60.0,None,Yes,22.95,Yes,Yes,Fiber Optic,15.0,No,Yes,,No,,Yes,Yes,Yes,One Year,Yes,,104.35,6339.45,41.23,,1377.0,7675.22,No Churn
30,2014-MKGMH,,,,,,,,,1.0,United States,California,Anaheim,,"33.848733, -117.788357",33.848733,-117.788357,,1.0,Q3,No,0.0,4.0,None,,48.35,Yes,,Cable,24.0,No,No,Yes,No,Yes,No,,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,,0.0,193.4,539.6,Competitor
31,7207-RMRDB,1.0,Male,72.0,No,Yes,Yes,No,0.0,1.0,United States,,San Diego,92129.0,,,-117.13491699999999,3.0,1.0,Q3,Yes,1.0,33.0,None,,27.78,Yes,Yes,,8.0,No,No,No,No,,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,,0.0,0.0,,4022.29,Other
32,1934-SJVJK,,,,,,,,,,,,,,,,,,1.0,Q3,No,0.0,9.0,Offer E,Yes,27.64,No,Yes,Cable,29.0,No,Yes,No,No,No,No,,,Month-to-Month,Yes,Bank Withdrawal,50.1,484.05,0.0,,248.76,732.81,No Churn
33,7077-XJMET,,,,,,,,,,,,,,,,,4.0,1.0,,No,0.0,71.0,None,Yes,4.89,Yes,No,None,0.0,,No,No,No,No,,No,,,,Credit Card,24.35,1654.6,0.0,0.0,347.19,2001.79,No Churn
34,2452-KDRRH,,,,,,,,,,,,,,,,,,1.0,Q3,No,0.0,44.0,Offer B,,49.57,Yes,Yes,Cable,21.0,No,,Yes,Yes,Yes,,Yes,No,One Year,,Bank Withdrawal,,,0.0,100.0,,5985.23,No Churn
35,7351-MHQVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price
36,8631-XVRZL,,,,,,,,,1.0,United States,,Palmdale,,"34.536232, -118.082935",34.536232,-118.082935,3.0,1.0,Q3,Yes,9.0,18.0,None,Yes,43.69,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,471.35,0.0,0.0,786.42,1257.77,No Churn
37,3143-ILDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attitude
38,4797-AXPXK,1.0,Female,,Yes,No,Yes,Yes,2.0,1.0,United States,California,Tranquillity,93668.0,"36.635661, -120.288644",36.635661,-120.28864399999999,3.0,1.0,Q3,Yes,7.0,36.0,None,Yes,40.54,Yes,Yes,Cable,59.0,Yes,,Yes,,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92.9,3379.25,0.0,0.0,1459.44,4838.690000000001,No Churn
39,6164-HAQTX,,,24.0,Yes,No,Yes,Yes,3.0,1.0,United States,,Hoopa,95546.0,"41.163637, -123.704841",41.163637,,4.0,,Q3,Yes,9.0,72.0,Offer A,No,,No,Yes,DSL,51.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Two Year,Yes,Credit Card,,,0.0,80.0,0.0,4558.85,No Churn
40,0526-SXDJP,,,,,,,,,1.0,United States,California,Stanford,94305.0,,37.424341999999996,-122.165641,3.0,1.0,Q3,No,0.0,69.0,Offer A,Yes,,Yes,Yes,DSL,28.0,Yes,No,Yes,Yes,,Yes,,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0.0,,1274.4299999999996,7171.83,No Churn
41,3671-SHRSP,1.0,Female,,No,No,No,Yes,,1.0,United States,,,94070.0,"37.497915, -122.267361",,,5.0,1.0,,,0.0,,Offer E,Yes,49.66,No,No,None,0.0,No,No,No,No,,No,No,No,One Year,No,Credit Card,20.05,96.8,0.0,0.0,347.62,444.42,No Churn
42,6101-IMRMM,1.0,Female,,Yes,No,Yes,No,0.0,1.0,United States,California,,94574.0,"38.581354, -122.296283",38.581354,-122.296283,3.0,,Q3,Yes,1.0,33.0,None,Yes,35.31,Yes,,None,0.0,No,No,No,No,,No,No,No,Two Year,Yes,,24.5,740.3,35.05,0.0,1165.23,1870.48,Price
43,7131-ZQZNK,1.0,Female,20.0,Yes,No,,Yes,2.0,1.0,United States,California,La Mirada,90638.0,"33.902045, -118.008961",33.902045,,3.0,,Q3,Yes,1.0,7.0,None,Yes,25.64,No,Yes,DSL,,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,350.35,0.0,0.0,179.48000000000005,529.83,No Churn
44,1775-KWJKQ,1.0,Female,27.0,Yes,No,No,,0.0,1.0,United States,California,Los Angeles,90026.0,"34.078991, -118.263804",34.078990999999995,-118.26380400000001,3.0,1.0,Q3,No,0.0,4.0,Offer E,Yes,,Yes,Yes,Fiber Optic,73.0,Yes,No,No,,No,No,No,Yes,Month-to-Month,Yes,,80.15,319.85,0.0,0.0,26.0,345.85,No Churn
45,4078-SAYYN,1.0,,65.0,No,Yes,,No,0.0,1.0,United States,California,San Ramon,94583.0,,37.766556,-121.97678400000001,2.0,1.0,Q3,No,,4.0,,Yes,49.5,Yes,,Fiber Optic,23.0,No,,No,,,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,424.45,0.0,,198.0,622.45,Competitor
46,9774-NRNAU,1.0,,75.0,No,Yes,Yes,Yes,,1.0,United States,California,Rio Vista,94571.0,"38.148862, -121.737696",,-121.737696,3.0,1.0,,Yes,8.0,57.0,,Yes,,No,Yes,Fiber Optic,15.0,No,Yes,Yes,,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0.0,0.0,,7177.7,No Churn
47,2123-AGEEN,1.0,Male,20.0,Yes,No,No,No,,1.0,United States,California,Torrance,90501.0,"33.833699, -118.314387",33.833698999999996,-118.31438700000001,3.0,1.0,Q3,No,0.0,20.0,,Yes,31.02,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0.0,,620.4,1035.8,No Churn
48,0742-MOABM,,,,,,,,,,,,,,,,,,1.0,Q3,No,,16.0,Offer D,Yes,18.99,Yes,,Fiber Optic,30.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0.0,0.0,303.84,1859.49,Attitude
49,5884-GCYMI,,,,,,,,,,,,,,,,,,1.0,Q3,No,0.0,65.0,None,Yes,,No,Yes,Cable,17.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Bank Withdrawal,84.85,5459.2,0.0,0.0,2713.1,8172.299999999998,No Churn
50,3452-GWUIN,1.0,Male,29.0,Yes,No,Yes,,0.0,1.0,United States,California,Anaheim,92801.0,"33.844983, -117.952151",33.844983,-117.952151,3.0,1.0,Q3,Yes,2.0,71.0,Offer A,,40.63,Yes,Yes,DSL,69.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,,4681.75,4.7,0.0,2884.73,7561.780000000002,No Churn
51,6713-OKOMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
52,9039-ZVJDC,1.0,Female,65.0,No,Yes,,Yes,,,United States,California,Monterey Park,91755.0,"34.049172, -118.115022",34.049172,-118.115022,,1.0,Q3,Yes,,65.0,,Yes,19.58,Yes,Yes,,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.45,7047.5,0.0,0.0,1272.6999999999996,8320.2,No Churn
53,8701-DGLVH,,,,,,,,,,,,,,,,,,1.0,,No,0.0,5.0,None,Yes,41.93,No,No,None,0.0,,No,No,No,No,No,No,No,,,Credit Card,19.65,92.05,0.0,,209.65,301.7,No Churn
54,8630-FJLIB,1.0,Female,44.0,No,No,,Yes,2.0,1.0,United States,California,Los Angeles,,"34.108455, -118.362081",34.108455,-118.362081,3.0,1.0,Q3,Yes,10.0,16.0,Offer D,,7.14,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,301.55,0.0,0.0,114.24,,No Churn
55,1850-AKQEP,,,,,,,,,,,,,,,,,,1.0,,Yes,5.0,43.0,Offer B,Yes,48.1,Yes,Yes,DSL,51.0,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,,71.9,3173.35,,0.0,2068.3,5241.65,No Churn
56,8313-NDOIA,1.0,,62.0,No,No,No,Yes,1.0,1.0,,California,San Bernardino,92405.0,"34.142747, -117.300864",34.142747,-117.30086399999999,,1.0,,No,0.0,61.0,Offer B,Yes,32.05,Yes,No,None,0.0,No,No,No,No,No,No,No,,Two Year,Yes,Credit Card,,,0.0,0.0,1955.05,3453.4,No Churn
57,2703-AMTUL,1.0,Female,60.0,No,No,No,No,0.0,1.0,United States,California,Rancho Santa Fe,92067.0,"33.012751, -117.200617",33.012751,,,1.0,,,0.0,17.0,None,,22.61,,Yes,Fiber Optic,19.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,,0.0,0.0,,1713.52,No Churn
58,5789-LDFXO,1.0,Female,,No,No,No,No,0.0,1.0,United States,California,Elmira,95625.0,"38.349195, -121.902943",38.349195,-121.902943,3.0,1.0,Q3,No,,4.0,None,Yes,27.57,No,Yes,,27.0,No,,No,,,No,No,Yes,Month-to-Month,Yes,,79.0,303.15,0.0,0.0,110.28,413.43,Dissatisfaction
59,4522-AKYLR,1.0,Female,49.0,No,No,No,No,0.0,1.0,United States,California,Fremont,94555.0,"37.555473, -122.080312",37.555473,-122.080312,3.0,1.0,Q3,No,0.0,1.0,None,Yes,43.06,,Yes,Fiber Optic,9.0,Yes,Yes,No,Yes,,No,No,Yes,,Yes,Credit Card,,83.4,0.0,0.0,43.06,126.46,No Churn
60,2121-JAFOM,1.0,Male,39.0,No,No,Yes,No,,1.0,United States,California,,,,41.505916,-120.152505,3.0,1.0,,Yes,10.0,67.0,None,,0.0,No,Yes,DSL,6.0,,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,,,0.0,0.0,0.0,3521.7,No Churn
61,1732-FEKLD,1.0,Female,51.0,No,No,No,No,0.0,1.0,United States,California,King City,93930.0,,36.220760999999996,-120.980777,3.0,1.0,,No,0.0,64.0,None,Yes,44.31,,Yes,Fiber Optic,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,,Bank Withdrawal,115.1,7334.05,,,2835.84,10169.89,No Churn
62,6860-YRJZP,,Female,21.0,,No,Yes,No,0.0,1.0,United States,California,Duarte,91010.0,"34.145695, -117.95982",34.145695,,3.0,1.0,,Yes,7.0,11.0,None,Yes,1.92,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,,Credit Card,20.6,233.9,0.0,0.0,21.12,255.02,No Churn
63,8070-AAWZP,1.0,Male,56.0,No,,Yes,Yes,3.0,1.0,,California,Pollock Pines,95726.0,"38.733908, -120.453416",,-120.45341599999999,5.0,1.0,,Yes,2.0,38.0,None,Yes,,Yes,Yes,Cable,30.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,,78.95,,0.0,,519.46,3382.01,No Churn
64,5067-XJQFU,1.0,Male,46.0,No,No,No,No,0.0,1.0,United States,California,Groveland,,"37.902968, -119.667544",37.902968,-119.66754399999999,5.0,1.0,,No,0.0,3.0,Offer E,Yes,13.72,No,Yes,Fiber Optic,26.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0.0,0.0,,276.21000000000004,No Churn
65,4847-QNOKA,,,,,,,,,1.0,,California,Canyon Dam,95923.0,"40.171312, -121.120605",40.171312,-121.120605,5.0,1.0,Q3,,3.0,41.0,None,Yes,20.41,Yes,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.1,4454.25,0.0,0.0,836.8100000000002,5291.06,No Churn
66,0807-ZABDG,,Male,44.0,No,No,Yes,,,1.0,United States,California,Garden Grove,92840.0,"33.787165, -117.931889",33.787165,-117.93188899999998,3.0,,Q3,Yes,7.0,44.0,,Yes,32.22,,No,,0.0,No,No,No,No,No,No,No,No,,No,Bank Withdrawal,24.85,1013.6,0.0,0.0,1417.6799999999996,2431.28,No Churn
67,7233-IOQNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
68,1384-RCUXW,1.0,Female,33.0,No,No,,No,0.0,1.0,United States,California,Calpine,96124.0,"39.672813, -120.456699",39.672813,,5.0,1.0,Q3,No,0.0,36.0,None,Yes,44.87,,,Cable,8.0,Yes,Yes,Yes,Yes,Yes,,No,Yes,,Yes,Credit Card,76.35,2606.35,0.0,0.0,1615.32,4221.67,No Churn
69,9968-FFVVH,,,,,,,,,,,,,,,,,4.0,1.0,Q3,No,0.0,1.0,None,Yes,14.65,No,Yes,Cable,15.0,No,No,Yes,Yes,,No,No,Yes,Month-to-Month,No,Credit Card,,55.05,0.0,0.0,14.65,69.7,No Churn
70,7989-CHGTL,1.0,Female,24.0,Yes,No,No,No,0.0,1.0,United States,California,Delhi,95315.0,"37.422961, -120.765493",37.422961,-120.76549299999999,,1.0,Q3,,0.0,1.0,Offer E,,26.12,No,No,None,0.0,,No,,No,No,No,No,No,Month-to-Month,,Credit Card,20.5,,,0.0,26.12,46.62000000000001,Price
71,8096-LOIST,1.0,Male,43.0,,No,Yes,No,0.0,1.0,United States,California,Potter Valley,,"39.408634, -123.045516",39.408634,-123.04551599999999,4.0,1.0,,,1.0,72.0,Offer A,Yes,38.3,Yes,Yes,Fiber Optic,3.0,,,Yes,No,Yes,No,No,,Two Year,Yes,Credit Card,97.95,7114.25,0.0,0.0,2757.6,,No Churn
72,5364-EVNIB,,,,,,,,,1.0,United States,California,Valencia,91354.0,,,,,1.0,Q3,No,0.0,17.0,None,Yes,33.68,No,Yes,DSL,14.0,Yes,Yes,,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.5,934.15,0.0,0.0,572.56,1506.71,No Churn
73,4789-KWMXN,,,,,,,,,,,,,,,,,,1.0,Q3,No,0.0,72.0,Offer A,Yes,2.25,Yes,,,16.0,Yes,Yes,,No,Yes,,No,Yes,Two Year,,Bank Withdrawal,101.3,7261.25,,,162.0,7423.25,No Churn
74,1084-UQCHV,,,,,,,,,,,,,,,,,5.0,1.0,Q3,,4.0,10.0,None,,4.16,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,,24.4,253.9,0.0,0.0,41.6,,No Churn
75,0788-DXBFY,1.0,Male,60.0,No,No,No,No,0.0,1.0,United States,California,Bakersfield,93306.0,"35.449881, -118.841442",35.449881,-118.84144199999999,5.0,1.0,Q3,No,0.0,3.0,,,49.63,,Yes,Fiber Optic,26.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,253.8,,0.0,148.89,402.69000000000005,No Churn
76,6791-YBNAK,,Female,34.0,No,No,,No,0.0,,United States,California,Twain,,"40.022184, -121.062384",40.022184,-121.06238400000001,3.0,1.0,Q3,,1.0,1.0,None,Yes,11.08,No,Yes,,13.0,No,No,No,,No,No,,Yes,,Yes,Bank Withdrawal,69.8,69.8,0.0,0.0,11.08,80.88,Dissatisfaction
77,4837-QUSFT,,,,,,,,,,,,,,,,,,1.0,Q3,Yes,2.0,72.0,Offer A,,38.44,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,108.5,8003.8,0.0,0.0,2767.68,10771.48,No Churn
78,5948-UJZLF,1.0,Female,68.0,,Yes,Yes,No,0.0,1.0,United States,California,,90063.0,"34.044271, -118.185237",34.044271,-118.18523700000001,4.0,1.0,Q3,Yes,4.0,55.0,None,Yes,,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,Yes,No,,,Yes,Two Year,No,Bank Withdrawal,,5044.8,12.48,0.0,1250.6999999999996,6283.02,No Churn
79,0913-XWSCN,1.0,Male,27.0,Yes,No,Yes,Yes,1.0,1.0,United States,California,Huron,93234.0,"36.217864, -120.080117",,-120.08011699999999,3.0,1.0,Q3,Yes,1.0,,None,Yes,29.67,Yes,Yes,Fiber Optic,,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,,85.5,5696.6,0.0,0.0,2017.56,7714.160000000002,No Churn
80,1934-MKPXS,,,,,,,,,1.0,United States,California,Hinkley,92347.0,"34.983808, -117.239306",34.983808,-117.239306,3.0,1.0,Q3,Yes,6.0,30.0,None,Yes,40.0,No,No,None,0.0,No,No,No,No,,,No,No,Two Year,No,Credit Card,21.25,711.9,,,1200.0,1911.9,No Churn
81,6435-VWCCY,1.0,Female,39.0,No,No,Yes,Yes,2.0,1.0,United States,California,Cobb,95426.0,"38.838088, -122.73203",38.838088,-122.73203000000001,4.0,1.0,Q3,Yes,3.0,6.0,None,Yes,49.45,,Yes,DSL,10.0,No,,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.8,297.35,0.0,0.0,296.7000000000001,594.0500000000002,No Churn
82,0402-CQAJN,1.0,Female,69.0,No,Yes,,No,0.0,1.0,United States,California,Winton,95388.0,"37.421299, -120.599587",37.421299,-120.59958700000001,1.0,1.0,Q3,,,1.0,None,Yes,,,Yes,Cable,2.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.55,50.55,0.0,,,73.11,Dissatisfaction
83,2359-KMGLI,1.0,Male,73.0,No,Yes,,No,0.0,1.0,United States,California,Grizzly Flats,95636.0,"38.636102, -120.522149",38.636102,-120.522149,,1.0,Q3,No,0.0,9.0,None,Yes,10.04,,Yes,Fiber Optic,13.0,,No,,No,,Yes,No,Yes,Month-to-Month,,Bank Withdrawal,83.85,790.15,0.0,0.0,90.36,880.51,Dissatisfaction
84,9391-EOYLI,,,,,,,,,,,,,,,,,,1.0,Q3,No,,17.0,None,Yes,38.78,Yes,Yes,Fiber Optic,59.0,Yes,,Yes,Yes,Yes,No,No,Yes,Month-to-Month,,Bank Withdrawal,,1672.1,0.0,,,2331.36,No Churn
