Customer ID,Churn Category
2662-NNTDK,No Churn
6789-HJBWG,Competitor
4086-YQSNZ,No Churn
9863-JZAIC,No Churn
4003-OCTMP,No Churn
8473-VUVJN,Competitor
9103-CXVOK,Dissatisfaction
5146-YYFRZ,No Churn
3675-EQOZA,Price
8234-GSZYK,No Churn
0743-HNPFG,No Churn
6551-VLJMV,No Churn
6953-PBDIN,Competitor
8361-LTMKD,No Churn
7072-MBHEV,No Churn
3976-HXHCE,No Churn
3583-EKAPL,Competitor
2050-ONYDQ,No Churn
4537-CIBHB,No Churn
1272-ILHFG,No Churn
8720-RQSBJ,Dissatisfaction
0014-BMAQU,Competitor
3716-BDVDB,No Churn
2606-RMDHZ,No Churn
5077-DXTCG,No Churn
9710-ZUSHQ,Other
2599-CIPQE,Other
8974-OVACP,No Churn
3648-GZPHF,No Churn
6504-VBLFL,No Churn
3097-NQYSN,No Churn
3012-VFFMN,Attitude
2307-FYNNL,Attitude
9272-LSVYH,No Churn
4404-HIBDJ,Competitor
8972-HJWNV,No Churn
9650-VBUOG,No Churn
1347-KTTTA,No Churn
3923-CSIHK,No Churn
3692-JHONH,No Churn
7644-OMVMY,Dissatisfaction
8246-SHFGA,No Churn
6993-YCOBK,Attitude
8896-BQTTI,No Churn
5133-VRSAB,No Churn
5876-QMYLD,No Churn
2520-SGTTA,No Churn
2954-PIBKO,No Churn
4806-DXQCE,No Churn
7197-VOJMM,No Churn
5956-VKDTT,No Churn
6292-TOSSS,No Churn
3594-UVONA,No Churn
2027-DNKIV,Competitor
5351-QESIO,Competitor
0939-EREMR,No Churn
6797-UCJHZ,Attitude
6633-MPWBS,No Churn
6967-QIQRV,Competitor
3126-WQMGH,Attitude
8104-OSKWT,Attitude
9081-WWXKP,No Churn
0224-RLWWD,No Churn
4029-HPFVY,No Churn
7249-WBIYX,Dissatisfaction
8464-EETCQ,No Churn
5120-ZBLAI,No Churn
1104-FEJAM,No Churn
8646-JCOMS,Attitude
3806-DXQOM,No Churn
5849-ASHZJ,Competitor
0363-QJVFX,No Churn
3026-ATZYV,No Churn
0829-XXPLX,No Churn
6128-DAFVY,No Churn
2862-PFNIK,No Churn
7776-QWNFX,Dissatisfaction
5671-UUNXD,No Churn
1069-QJOEE,No Churn
5502-RLUYV,No Churn
5310-NOOVA,No Churn
0924-BJCRC,No Churn
5143-EGQFK,No Churn
3154-CFSZG,Competitor
0295-QVKPB,Competitor
0960-HUWBM,No Churn
1470-PSXNM,No Churn
2826-UWHIS,Other
1792-UXAFY,No Churn
0742-NXBGR,Price
4749-OJKQU,No Churn
2181-UAESM,Attitude
2661-GKBTK,No Churn
9170-ARBTB,No Churn
3130-ICDUP,Competitor
8681-ICONS,No Churn
5522-NYKPB,No Churn
1658-BYGOY,No Churn
6341-JVQGF,No Churn
3243-ZHOHY,Dissatisfaction
3451-VAWLI,No Churn
0727-BMPLR,No Churn
5712-VBOXD,No Churn
3389-YGYAI,No Churn
3214-IYUUQ,No Churn
7816-VGHTO,Competitor
7951-QKZPL,No Churn
4062-HBMOS,No Churn
4948-WBBKL,Attitude
9209-NWPGU,No Churn
6563-VRERX,No Churn
6907-FLBER,No Churn
7233-DRTRF,No Churn
7047-YXDMZ,Price
0191-EQUUH,No Churn
6861-XWTWQ,Attitude
0323-XWWTN,No Churn
7089-XXAYG,No Churn
6941-PMGEP,No Churn
5519-TEEUH,No Churn
5201-USSQZ,No Churn
9601-BRXPO,No Churn
0754-EEBDC,Price
9873-MNDKV,No Churn
6924-TDGMT,No Churn
3945-GFWQL,No Churn
4973-MGTON,No Churn
5357-TZHPP,No Churn
5206-XZZQI,No Churn
2361-UPSND,No Churn
5602-BVFMK,No Churn
4781-ZXYGU,Competitor
1723-HKXJQ,Dissatisfaction
1428-IEDPR,No Churn
1043-YCUTE,No Churn
7632-YUTXB,No Churn
3705-PSNGL,No Churn
2272-QAGFO,No Churn
0916-KNFAJ,No Churn
6204-IEUXJ,Competitor
1325-USMEC,No Churn
7251-XFOIL,No Churn
6950-TWMYB,No Churn
5482-NUPNA,No Churn
2716-GFZOR,No Churn
8138-EALND,No Churn
6300-BWMJX,No Churn
6543-CPZMK,No Churn
5549-ZGHFB,No Churn
2761-XECQW,Attitude
5167-ZFFMM,No Churn
0565-IYCGT,No Churn
2709-UQGNP,No Churn
1218-VKFPE,No Churn
6295-OSINB,Dissatisfaction
6857-VWJDT,No Churn
6618-RYATB,No Churn
6172-FECYY,No Churn
3850-OKINF,No Churn
4607-CHPCA,No Churn
8270-RKSAP,Competitor
1550-EENBN,No Churn
5453-YBTWV,No Churn
6050-IJRHS,No Churn
7566-DSRLQ,Competitor
6211-WHMYA,No Churn
2344-JMOGN,No Churn
1657-DYMBM,Competitor
4010-YLMVT,No Churn
2865-TCHJW,No Churn
8969-PRHFK,No Churn
7730-IUTDZ,No Churn
2969-WGHQO,No Churn
7064-FRRSW,No Churn
8710-YGLWG,No Churn
4254-QPEDE,No Churn
4644-PIZRT,No Churn
3865-ZYKAD,No Churn
8591-TKMZH,Competitor
2673-ZALNP,No Churn
1699-HPSBG,Price
0042-JVWOJ,No Churn
4879-GZLFH,No Churn
2143-LJULT,Dissatisfaction
5397-NSKQG,No Churn
8194-PEEBY,No Churn
3587-PMCOY,No Churn
2202-CUYXZ,No Churn
6147-CBCRA,Competitor
8622-ZLFKO,No Churn
6840-RESVB,No Churn
0616-ATFGB,No Churn
0419-YAAPX,No Churn
5542-TBBWB,No Churn
3957-HHLMR,No Churn
0484-FFVBJ,No Churn
0943-ZQPXH,No Churn
0137-OCGAB,No Churn
3932-IJWDZ,No Churn
6383-ZTSIW,No Churn
0042-RLHYP,No Churn
4403-BWPAY,Dissatisfaction
6457-GIRWB,No Churn
2325-ZUSFD,No Churn
9360-AHGNL,No Churn
0620-DLSLK,No Churn
1612-EOHDH,No Churn
1335-MXCSE,Competitor
8040-MNRTF,Dissatisfaction
9625-QNLUX,Competitor
9054-FOWNV,Other
8679-LZBMD,No Churn
4958-GZWIY,Competitor
3679-XASPY,No Churn
4059-IIEBK,No Churn
6483-OATDN,No Churn
0854-UYHZD,No Churn
7188-CBBBA,No Churn
3374-TTZTK,No Churn
7064-JHXCE,No Churn
4612-SSVHJ,No Churn
9495-SKLKD,No Churn
7244-KXYZN,No Churn
3237-AJGEH,Competitor
0945-TSONX,Competitor
5639-NTUPK,No Churn
7353-YOWFP,No Churn
9947-OTFQU,Competitor
4844-JJWUY,No Churn
8218-FFJDS,No Churn
5222-IMUKT,No Churn
3410-MHHUM,No Churn
2479-BRAMR,Competitor
4683-WYDOU,Competitor
2542-HYGIQ,No Churn
2091-MJTFX,No Churn
0117-LFRMW,No Churn
4585-HETAI,No Churn
5380-XPJNZ,No Churn
7967-HYCDE,No Churn
3470-BTGQO,No Churn
0784-GTUUK,No Churn
8882-TLVRW,No Churn
3055-OYMSE,Competitor
5402-HTOTQ,No Churn
3778-FOAQW,Competitor
6064-ZATLR,No Churn
0013-SMEOE,No Churn
1013-QCWAM,No Churn
2320-YKQBO,No Churn
2651-ZCBXV,No Churn
2347-WKKAE,No Churn
6221-AVQYL,No Churn
0128-MKWSG,No Churn
8779-QRDMV,Attitude
5438-QMDDL,No Churn
5196-SGOAK,No Churn
8883-ANODQ,Other
6137-MFAJN,Competitor
5480-XTFFL,Dissatisfaction
0594-UFTUL,Competitor
5365-LLFYV,No Churn
4006-HKYHO,No Churn
2530-ENDWQ,No Churn
4581-LNWUM,No Churn
7459-RRWQZ,No Churn
3363-DTIVD,Competitor
9372-TXXPS,Competitor
7377-DMMRI,Competitor
5650-YLIBA,Competitor
6620-HVDUJ,No Churn
7860-KSUGX,No Churn
4512-ZUIYL,No Churn
9626-WEQRM,No Churn
5919-TMRGD,No Churn
8319-QBEHW,No Churn
5701-SVCWR,Price
1207-BLKSA,No Churn
5696-CEIQJ,No Churn
2011-TRQYE,No Churn
7163-OCEQI,No Churn
4159-NAAIX,No Churn
2311-QYMUQ,No Churn
4412-YLTKF,No Churn
6647-ZEDXT,No Churn
4464-JCOLN,No Churn
5555-RNPGT,No Churn
2325-WINES,No Churn
6124-ACRHJ,Competitor
4697-LUPSU,No Churn
3950-VPYJB,Competitor
2284-VFLKH,Dissatisfaction
6870-ZWMNX,No Churn
9305-CDSKC,No Churn
6168-WFVVF,No Churn
4090-KPJIP,Attitude
7923-IYJWY,No Churn
1334-PDUKM,Competitor
1956-YIFGE,No Churn
3707-GNWHM,No Churn
7161-DFHUF,No Churn
2990-OGYTD,No Churn
8242-SOQUO,Price
7993-NQLJE,Competitor
2303-PJYHN,No Churn
7493-GVFIO,No Churn
5334-JLAXU,No Churn
7538-GWHML,No Churn
5148-ORICT,Competitor
7851-WZEKY,No Churn
8543-MSDMF,No Churn
2122-YWVYA,No Churn
8098-TDCBU,Dissatisfaction
3230-JCNZS,Competitor
3018-TFTSU,No Churn
5349-IECLD,No Churn
0956-ACVZC,No Churn
9057-MSWCO,No Churn
8722-NGNBH,No Churn
5569-OUICF,No Churn
4049-ZPALD,No Churn
8565-CLBZW,No Churn
4325-NFSKC,No Churn
5917-RYRMG,No Churn
0122-OAHPZ,No Churn
5522-JBWMO,No Churn
9069-LGEUL,No Churn
6311-UEUME,No Churn
4396-KLSEH,No Churn
6131-JLWZM,Competitor
0282-NVSJS,Attitude
9987-LUTYD,No Churn
8807-OPMBM,Attitude
7673-LPRNY,Price
3737-GCSPV,Attitude
1227-UDMZR,No Churn
0564-JJHGS,No Churn
1597-LHYNC,No Churn
7552-KEYGT,No Churn
0621-TWIEM,No Churn
7526-IVLYU,No Churn
3910-MRQOY,No Churn
1217-VASWC,Attitude
6199-IWKGC,Attitude
0491-KAPQG,No Churn
7706-YLMQA,No Churn
7572-KPVKK,Competitor
0454-OKRCT,No Churn
6682-VCIXC,No Churn
3612-YUNGG,No Churn
9964-WBQDJ,No Churn
2332-EFBJY,Competitor
6769-DYBQN,Competitor
3935-TBRZZ,No Churn
4824-GUCBY,No Churn
4002-BQWPQ,No Churn
6712-OAWRH,No Churn
1735-XMJVH,No Churn
0440-UEDAI,No Churn
9297-EONCV,No Churn
7682-AZNDK,Attitude
5982-PSMKW,No Churn
8812-ZRHFP,No Churn
5177-RVZNU,No Churn
3703-VAVCL,No Churn
7590-VHVEG,Dissatisfaction
7526-BEZQB,No Churn
6968-URWQU,No Churn
8992-JQYUN,No Churn
0302-JOIVN,Competitor
5414-OFQCB,Competitor
1618-CFHME,Attitude
1977-STDKI,No Churn
8217-QYOHV,No Churn
0363-SVHYR,Other
9347-AERRL,Attitude
5886-VLQVU,No Churn
5231-FIQPA,No Churn
8844-TONUD,No Churn
6380-ARCEH,Dissatisfaction
2817-NTQDO,No Churn
1096-ADRUX,No Churn
1989-PRJHP,No Churn
5170-PTRKA,No Churn
4350-ZTLPI,No Churn
2916-BQZLN,Price
4660-IRIBM,No Churn
5702-KVQRD,No Churn
0311-UNPFF,Competitor
0899-LIIBW,No Churn
6169-PPETC,No Churn
7779-ORAEL,No Churn
1494-EJZDW,No Churn
1635-HDGFT,No Churn
6202-JVYEU,Competitor
4342-HFXWS,Competitor
6625-FLENO,No Churn
5934-TSSAU,No Churn
3068-OMWZA,Price
9314-QDMDW,No Churn
8017-UVSZU,Dissatisfaction
8510-BBWMU,No Churn
2868-LLSKM,No Churn
4939-KYYPY,No Churn
8496-DMZUK,Attitude
4895-TMWIR,No Churn
7921-LMDFQ,No Churn
8822-KNBHV,No Churn
6356-ELRKD,No Churn
2276-YDAVZ,No Churn
2325-NBPZG,No Churn
9667-TKTVZ,Competitor
8731-WBBMB,No Churn
7529-ZDFXI,No Churn
1493-AMTIE,No Churn
9894-QMIMJ,No Churn
4471-KXAUH,No Churn
7777-UNYHB,Dissatisfaction
0233-FTHAV,Attitude
8467-WYNSR,No Churn
8590-YFFQO,No Churn
0708-LGSMF,Price
8006-PYCSW,No Churn
0479-HMSWA,Competitor
1561-BWHIN,Competitor
8584-KMVXD,No Churn
7940-UQQUG,No Churn
6549-NNDYT,No Churn
1982-FEBTD,No Churn
3893-JRNFS,No Churn
0407-BDJKB,Attitude
1338-CECEE,No Churn
7382-DFJTU,No Churn
4846-WHAFZ,No Churn
9881-VCZEP,No Churn
7398-LXGYX,Competitor
4139-JPIAM,No Churn
8008-ESFLK,No Churn
7821-DPRQE,No Churn
5140-FOMCQ,No Churn
6253-WRFHY,No Churn
7854-FOKSF,Price
7384-GHBPI,No Churn
2900-PHPLN,No Churn
6305-YLBMM,No Churn
3170-GWYKC,No Churn
0907-HQNTS,No Churn
7115-IRDHS,No Churn
4702-IOQDC,Other
6899-PPEEA,No Churn
5294-IMHHT,No Churn
2710-WYVXG,No Churn
7326-RIGQZ,Price
2324-EFHVG,No Churn
3129-AAQOU,No Churn
5406-KGRMX,No Churn
2903-YYTBW,No Churn
8875-AKBYH,No Churn
7850-VWJUU,No Churn
0619-OLYUR,No Churn
0440-QEXBZ,Competitor
6135-OZQVA,No Churn
1376-HHBDV,No Churn
1017-FBQMM,Competitor
9512-PHSMG,Competitor
5975-BAICR,No Churn
8174-TBVCF,No Churn
8904-OPDCK,No Churn
2656-FMOKZ,Competitor
4054-CUMIA,No Churn
3199-NPKCN,No Churn
7641-EUYET,No Churn
5242-UOWHD,No Churn
6738-ISCBM,No Churn
6214-EDAKZ,Competitor
5027-QPKTE,No Churn
3871-IKPYH,No Churn
0103-CSITQ,Competitor
7317-GGVPB,No Churn
1567-DSCIC,No Churn
2729-VNVAP,No Churn
5939-SXWHM,Dissatisfaction
8690-UPCZI,No Churn
7997-EASSD,No Churn
1814-DKOLC,No Churn
8671-KKKOS,No Churn
6259-WJQLC,No Churn
6179-GJPSO,No Churn
2604-IJPDU,No Churn
2250-IVBWA,No Churn
6726-WEXXK,Competitor
4918-FYJNT,No Churn
3938-YFPXD,No Churn
2521-NPUZR,Competitor
0017-DINOC,No Churn
4013-UBXWQ,No Churn
1534-OULXE,No Churn
4926-UMJZD,No Churn
3030-YDNRM,No Churn
3030-YZADT,No Churn
6862-CQUMB,Attitude
0611-DFXKO,Other
6891-JPYFF,No Churn
7018-WBJNK,No Churn
7727-SHVZV,No Churn
5766-FTRTS,No Churn
2452-SNHFZ,No Churn
0685-MLYYM,No Churn
0215-BQKGS,Attitude
7758-XKCBS,No Churn
6400-BWQKW,Competitor
1357-MVDOZ,No Churn
2137-DQMEV,No Churn
0691-JVSYA,No Churn
4423-JWZJN,Attitude
4220-TINQT,No Churn
8375-DKEBR,No Churn
9058-HRZSV,Dissatisfaction
2359-QWQUL,No Churn
7395-IGJOS,Dissatisfaction
7595-EHCDL,No Churn
6839-ITVZJ,No Churn
4759-TRPLW,No Churn
0746-JTRFU,Competitor
6907-NZZIJ,No Churn
0260-ZDLGK,No Churn
3655-SNQYZ,Competitor
9102-OXKFY,Competitor
6223-DHJGV,Competitor
7594-LZNWR,Competitor
1841-YSJGV,No Churn
5519-NPHVG,No Churn
1722-LDZJS,No Churn
4282-MSACW,Competitor
0727-BNRLG,No Churn
9142-KZXOP,No Churn
9874-QLCLH,No Churn
5906-BFOZT,No Churn
3969-GYXEL,No Churn
8033-VCZGH,No Churn
6048-QBXKL,Competitor
0374-FIUCA,No Churn
2639-UGMAZ,No Churn
3398-ZOUAA,No Churn
5294-DMSFH,No Churn
8676-TRMJS,No Churn
1135-LMECX,Other
6766-HFKLA,No Churn
2169-RRLFW,No Churn
7964-YESJC,No Churn
1024-KPRBB,No Churn
0581-MDMPW,Competitor
2226-ICFDO,No Churn
6981-TDRFT,No Churn
9659-QEQSY,No Churn
5669-SRAIP,Other
5673-TIYIB,No Churn
9801-GDWGV,No Churn
9448-REEVD,No Churn
0794-YVSGE,No Churn
0378-CJKPV,No Churn
4510-HIMLV,No Churn
8562-GHPPI,No Churn
9570-KYEUA,No Churn
1755-RMCXH,No Churn
2155-AMQRX,No Churn
3721-CNZHX,Attitude
4983-CLMLV,No Churn
8837-VVWLQ,No Churn
6174-NRBTZ,No Churn
4616-EWBNJ,No Churn
1935-IMVBB,No Churn
8645-KWHJO,Competitor
8623-ULFNQ,No Churn
3612-YVGSJ,Price
7083-MIOPC,No Churn
6016-NXBNJ,No Churn
1400-MMYXY,Price
6834-NXDCA,No Churn
2805-EDJPQ,Competitor
4647-XXZAM,No Churn
5914-GXMDA,Competitor
5681-LLOEI,Competitor
5651-CRHKQ,No Churn
0224-NIJLP,No Churn
8728-SKJLR,No Churn
5035-PGZXH,No Churn
9795-VOWON,Dissatisfaction
5271-YNWVR,No Churn
6260-ONULR,No Churn
6614-FHDBO,No Churn
1154-HYWWO,Competitor
9200-NLNPD,No Churn
8705-DWKTI,No Churn
6857-TKDJV,No Churn
6972-SNKKW,Competitor
0374-IOEGQ,No Churn
1371-WEPDS,No Churn
3262-EIDHV,No Churn
5977-CKHON,No Churn
4184-VODJZ,No Churn
7328-OWMOM,No Churn
8128-YVJRG,No Churn
0361-HJRDX,No Churn
8577-QSOCG,No Churn
9027-YFHQJ,No Churn
8182-BJDSI,No Churn
3254-YRILK,Competitor
0365-BZUWY,No Churn
3594-IVHJZ,No Churn
9732-EQMWY,No Churn
4130-MZLCC,No Churn
5650-VDUDS,No Churn
6629-CZTTH,No Churn
9194-GFVOI,No Churn
7649-SIJJF,No Churn
9805-FILKB,No Churn
9586-JGQKH,Competitor
5510-BOIUJ,No Churn
8003-EWNDZ,No Churn
6158-DWPZT,Competitor
6368-TZZDT,No Churn
6715-OFDBP,No Churn
0842-IWYCP,Competitor
8610-WFCJF,No Churn
1763-WQFUK,No Churn
1319-YLZJG,No Churn
7235-NXZCP,Other
5931-FLJJF,No Churn
3419-SNJJD,No Churn
7284-ZZLOH,No Churn
9746-MDMBK,No Churn
5857-TYBCJ,No Churn
7470-MCQTK,No Churn
9633-XQABV,No Churn
2525-GVKQU,No Churn
6328-ZPBGN,No Churn
7109-MFBYV,No Churn
0795-GMVQO,Other
2038-LLMLM,No Churn
7554-NEWDD,Attitude
1342-JPNKI,Competitor
0411-EZJZE,No Churn
6917-FIJHC,No Churn
4716-HHKQH,No Churn
0096-FCPUF,No Churn
1689-MRZQR,Other
8884-FEEWR,Price
5244-IRFIH,Competitor
2055-BFOCC,No Churn
0927-LCSMG,No Churn
4897-QSUYC,No Churn
1131-SUEKT,No Churn
4622-YNKIJ,No Churn
1436-ZMJAN,No Churn
0744-BIKKF,No Churn
5016-IBERQ,Competitor
8387-UGUSU,No Churn
5840-NVDCG,No Churn
3842-QTGDL,No Churn
7861-UVUFT,Dissatisfaction
9825-YCXWZ,No Churn
1143-NMNQJ,No Churn
5649-TJHOV,No Churn
3413-CSSTH,No Churn
5574-NXZIU,No Churn
6474-FVJLC,No Churn
4628-CTTLA,No Churn
7758-UJWYS,No Churn
7369-TRPFD,No Churn
7633-MVPUY,No Churn
7739-LAXOG,No Churn
0074-HDKDG,No Churn
4816-OKWNX,Competitor
0670-ANMUU,No Churn
8277-RVRSV,No Churn
6711-FLDFB,No Churn
3378-AJRAO,No Churn
5353-WILCI,No Churn
4998-IKFSE,No Churn
5924-SNGKP,No Churn
9134-WYRVP,Competitor
6119-SPUDB,Attitude
3198-VELRD,No Churn
4750-ZRXIU,Other
5311-IHLEI,No Churn
1636-NTNCO,No Churn
5204-QZXPU,No Churn
4301-VVZKA,No Churn
7126-RBHSD,Competitor
8573-JGCZW,Competitor
3806-YAZOV,No Churn
9979-RGMZT,No Churn
2346-CZYIL,No Churn
6447-EGDIV,No Churn
3387-VATUS,No Churn
8961-QDZZJ,Price
9046-JBFWA,No Churn
7268-IGMFD,Competitor
2874-YXVVA,Competitor
2039-JONDJ,No Churn
2282-YGNOR,No Churn
6922-NCEDI,Other
2660-EMUBI,Competitor
1363-TXLSL,No Churn
6060-QBMGV,Competitor
6087-MVHJH,No Churn
5751-USDBL,No Churn
4657-FWVFY,Price
0080-OROZO,No Churn
3308-DGHKL,No Churn
1525-LNLOJ,No Churn
2592-HODOV,Competitor
1297-VQDRP,No Churn
3847-BAERP,No Churn
0463-ZSDNT,No Churn
0523-VNGTF,Competitor
1608-GMEWB,No Churn
0840-DCNZE,Attitude
4957-SREEC,No Churn
2833-SLKDQ,No Churn
1304-SEGFY,No Churn
8894-JVDCV,No Churn
0480-BIXDE,Attitude
1658-XUHBX,Dissatisfaction
3811-VBYBZ,No Churn
2516-XSJKX,Price
5753-QQWPW,No Churn
4450-YOOHP,Competitor
7924-GJZFI,No Churn
7254-IQWOZ,No Churn
6333-YDVLT,No Churn
0853-NWIFK,No Churn
9391-DXGGG,No Churn
1183-CANVH,No Churn
7663-ZTEGJ,No Churn
4690-PKDQG,No Churn
1936-UAFEH,No Churn
9554-DFKIC,Competitor
3489-VSFRD,Competitor
4567-AKPIA,No Churn
7698-YFGEZ,No Churn
4310-KEDTB,No Churn
6358-LYNGM,Competitor
3733-LSYCE,No Churn
4826-XTSOH,No Churn
4135-FRWKJ,No Churn
8481-YYXWG,No Churn
8748-HFWBO,No Churn
2599-CZABP,No Churn
6621-NRZAK,No Churn
6546-OPBBH,No Churn
6686-YPGHK,Dissatisfaction
1921-KYSAY,No Churn
2403-BCASL,Competitor
0997-YTLNY,No Churn
9972-VAFJJ,Attitude
6769-DCQLI,No Churn
4559-UWIHT,No Churn
4283-FUTGF,No Churn
5902-WBLSE,No Churn
6967-PEJLL,No Churn
6127-IYJOZ,No Churn
6916-HIJSE,No Churn
2984-RGEYA,No Churn
2748-MYRVK,No Churn
0164-APGRB,Competitor
2446-PLQVO,Competitor
9158-VCTQB,No Churn
3258-ZKPAI,Other
7271-AJDTL,No Churn
0909-SELIE,Attitude
7838-LAZFO,No Churn
3411-WLRSQ,Competitor
3791-LGQCY,No Churn
7319-VENRZ,No Churn
2208-NQBCT,Attitude
7674-YTAFD,No Churn
8160-HOWOX,No Churn
5296-PSYVW,No Churn
3420-YJLQT,No Churn
3070-DVEYC,No Churn
0266-CLZKZ,No Churn
3551-HUAZH,No Churn
6959-UWKHF,No Churn
2604-XVDAM,Competitor
9717-IOAAF,No Churn
5570-PTWEH,Price
6331-LWDTQ,No Churn
9753-OYLBX,Attitude
3982-JGSFD,Other
8058-INTPH,No Churn
1866-RZZQS,No Churn
8402-EIVQS,Dissatisfaction
1750-CSKKM,No Churn
2387-KDZQY,No Churn
9489-DEDVP,No Churn
1872-EBWSC,No Churn
2845-KDHVX,Competitor
7321-ZNSLA,Attitude
8375-KVTHK,Competitor
5729-KLZAR,No Churn
7964-ZRKKG,No Churn
7000-WCEVQ,No Churn
7881-EVUAD,Other
5473-KHBPS,Competitor
1996-DBMUS,No Churn
7147-AYBAA,No Churn
0513-RBGPE,No Churn
2129-ALKBS,No Churn
1794-SWWKL,No Churn
5802-ADBRC,No Churn
1131-QQZEB,No Churn
0196-JTUQI,Competitor
1273-MTETI,No Churn
2749-CTKAJ,No Churn
7216-KAOID,No Churn
6959-GQEGV,No Churn
7623-TRNQN,No Churn
7156-MXBJE,Price
8808-ELEHO,Competitor
0310-SUCIN,Price
4298-OYIFC,No Churn
1539-LNKHM,Competitor
5044-LRQAQ,Other
6746-WAUWT,No Churn
2114-MGINA,No Churn
4514-GFCFI,No Churn
4636-QRJKY,No Churn
0582-AVCLN,Price
9237-HQITU,Dissatisfaction
9112-WSNPU,No Churn
