Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
0932-YIXYU,1.0,Female,80.0,No,Yes,No,,0.0
4299-OPXEJ,1.0,Male,77.0,No,Yes,No,No,0.0
3363-DTIVD,,Male,74.0,No,Yes,,No,0.0
1066-JKSGK,1.0,Female,76.0,,,Yes,No,0.0
8865-TNMNX,1.0,Female,78.0,No,Yes,Yes,No,
6214-EDAKZ,1.0,Female,78.0,No,Yes,Yes,No,0.0
5499-ECUTN,1.0,Male,,No,Yes,No,No,
0402-CQAJN,1.0,Female,69.0,No,Yes,,No,0.0
6048-QBXKL,1.0,Female,74.0,No,Yes,No,,0.0
0983-TATYJ,1.0,Female,68.0,No,Yes,,,0.0
4070-OKWVH,1.0,Female,68.0,No,Yes,No,No,0.0
0657-DOGUM,1.0,Female,68.0,No,Yes,No,No,
4378-BZYFP,,Female,75.0,No,Yes,No,No,0.0
2359-KMGLI,1.0,Male,73.0,No,Yes,,No,0.0
0795-GMVQO,1.0,Female,72.0,No,,No,No,0.0
9821-POOTN,,Female,68.0,No,Yes,Yes,No,0.0
3736-BLEPA,1.0,Female,74.0,,,,No,0.0
7682-AZNDK,1.0,,71.0,No,Yes,Yes,No,0.0
8404-VIOMB,1.0,Male,75.0,No,Yes,Yes,No,0.0
1724-BQUHA,1.0,Female,66.0,No,Yes,Yes,No,0.0
1763-KUAAW,1.0,Male,76.0,No,Yes,No,No,0.0
6413-XKKPU,1.0,Male,78.0,No,Yes,No,No,0.0
2386-OWURY,1.0,Male,,No,Yes,No,No,
7716-YTYHG,1.0,Female,78.0,No,Yes,No,No,0.0
4430-YHXGG,1.0,,71.0,,Yes,No,No,0.0
5693-PIPCS,1.0,Female,76.0,,Yes,Yes,No,
3146-JTQHR,1.0,Male,75.0,No,Yes,Yes,No,0.0
7966-YOTQW,1.0,Female,75.0,No,Yes,No,No,0.0
2812-SFXMJ,1.0,Male,69.0,No,Yes,No,No,0.0
5144-PQCDZ,1.0,Female,66.0,No,Yes,No,No,0.0
4672-FOTSD,1.0,Male,65.0,No,Yes,No,,0.0
6999-CHVCF,1.0,Female,,No,Yes,Yes,No,0.0
3078-ZKNTS,1.0,Female,66.0,No,Yes,Yes,No,0.0
6650-VJONK,1.0,Male,77.0,No,Yes,Yes,No,
7508-KBIMB,1.0,Female,66.0,No,Yes,,No,
5839-SUYVZ,1.0,Female,80.0,No,Yes,No,No,
3055-MJDSB,1.0,Male,68.0,No,Yes,No,,0.0
5343-SGUBI,1.0,Male,78.0,No,Yes,Yes,,
0813-TAXXS,1.0,Male,74.0,No,Yes,No,No,0.0
4489-SNOJF,1.0,Female,74.0,No,Yes,Yes,No,0.0
8073-IJDCM,,,65.0,No,Yes,No,No,0.0
6769-DYBQN,1.0,Female,70.0,No,Yes,No,No,0.0
2789-HQBOU,1.0,,70.0,No,Yes,,No,0.0
8915-NNTRC,1.0,Male,75.0,No,Yes,No,No,0.0
3173-WSSUE,1.0,Male,70.0,No,Yes,No,No,0.0
5553-AOINX,1.0,Male,71.0,No,Yes,Yes,No,0.0
6432-TWQLB,1.0,Female,79.0,,Yes,,No,
5208-FVQKB,1.0,Female,73.0,No,Yes,Yes,No,0.0
6295-OSINB,1.0,Female,,No,Yes,Yes,No,0.0
1814-WFGVS,1.0,Female,80.0,No,Yes,Yes,No,0.0
7779-LGOVN,1.0,Male,69.0,No,Yes,Yes,No,0.0
4236-UJPWO,1.0,Male,73.0,No,Yes,,No,0.0
8473-VUVJN,1.0,Female,79.0,No,Yes,No,No,0.0
1452-UZOSF,1.0,Female,67.0,No,Yes,Yes,No,
0118-JPNOY,1.0,Male,72.0,No,Yes,Yes,No,0.0
7801-CEDNV,1.0,,75.0,No,Yes,,No,0.0
6349-JDHQP,1.0,Male,,No,Yes,No,No,0.0
7021-XSNYE,1.0,Female,,No,Yes,No,No,
7184-LRUUR,1.0,Female,77.0,No,,Yes,No,0.0
1482-OXZSY,1.0,Female,67.0,No,Yes,No,No,0.0
3199-XGZCY,1.0,Male,67.0,No,Yes,No,No,0.0
6173-GOLSU,1.0,,,No,Yes,Yes,No,0.0
3589-PPVKW,1.0,,66.0,No,Yes,No,No,
2957-JIRMN,1.0,Male,80.0,No,Yes,No,No,0.0
5018-HEKFO,1.0,Female,69.0,No,Yes,Yes,No,0.0
9019-QVLZD,1.0,Male,78.0,No,Yes,No,No,
8149-AIQCG,1.0,Male,78.0,No,Yes,Yes,No,0.0
6147-CBCRA,1.0,Male,68.0,No,Yes,Yes,No,0.0
5073-RZGBK,1.0,Female,75.0,No,Yes,Yes,,0.0
8992-CEUEN,1.0,,70.0,No,Yes,,No,0.0
5174-ITUMV,1.0,Female,65.0,No,Yes,Yes,,0.0
2495-INZWQ,1.0,Male,71.0,No,Yes,,,0.0
7088-FBAWU,1.0,Female,72.0,No,Yes,No,No,0.0
9046-DQMTP,1.0,Male,69.0,No,Yes,No,No,0.0
1891-QRQSA,1.0,,70.0,No,,No,No,0.0
7470-DYNOE,1.0,Female,80.0,No,Yes,Yes,No,0.0
3590-TCXTB,1.0,,73.0,No,Yes,Yes,No,0.0
9412-GHEEC,1.0,,73.0,No,Yes,No,No,0.0
2725-KXXWT,1.0,Male,79.0,No,Yes,Yes,No,0.0
9839-ETQOE,1.0,Female,79.0,No,Yes,Yes,No,
2027-DNKIV,1.0,Female,73.0,No,Yes,Yes,No,0.0
2017-CCBLH,1.0,Female,77.0,No,Yes,Yes,No,0.0
3768-NLUBH,1.0,Female,68.0,No,Yes,,No,0.0
7394-FKDNK,1.0,Female,70.0,No,Yes,No,No,0.0
9076-AXYIK,1.0,Female,68.0,No,Yes,No,No,0.0
3164-YAXFY,1.0,Female,76.0,No,Yes,No,,0.0
5756-OZRIO,1.0,Male,68.0,No,Yes,No,No,0.0
0496-AHOOK,1.0,Male,80.0,No,Yes,Yes,No,0.0
9357-UJRUN,1.0,Male,79.0,No,Yes,No,No,0.0
2002-MZHWP,1.0,Male,78.0,No,Yes,,,
8660-BUETV,1.0,,76.0,No,Yes,Yes,No,
0495-RVCBF,1.0,Male,,No,Yes,,No,0.0
4971-PUYQO,1.0,Female,65.0,No,Yes,No,,0.0
0853-TWRVK,1.0,Male,78.0,No,Yes,Yes,No,0.0
7541-YLXCL,1.0,Male,68.0,No,Yes,,No,
5914-XRFQB,1.0,Female,73.0,,Yes,,No,0.0
3761-FLYZI,1.0,Female,75.0,,Yes,Yes,No,0.0
4774-HHGGS,1.0,Male,66.0,No,Yes,Yes,No,
9717-QEBGU,1.0,Female,73.0,No,Yes,No,No,
1539-LNKHM,1.0,Male,70.0,No,Yes,Yes,No,0.0
2012-NWRPA,1.0,Male,,No,Yes,Yes,No,0.0
4673-KKSLS,1.0,Male,70.0,No,Yes,Yes,,0.0
9629-NHXFW,1.0,Male,,No,Yes,,No,0.0
1971-DTCZB,1.0,Male,66.0,No,Yes,Yes,No,0.0
1171-TYKUR,1.0,Male,68.0,No,Yes,Yes,No,0.0
3870-MQAMG,1.0,,73.0,No,Yes,,No,0.0
5133-POWUA,1.0,Female,77.0,No,Yes,Yes,No,
7730-CLDSV,1.0,Male,73.0,No,Yes,,No,0.0
4312-KFRXN,1.0,Female,65.0,No,,Yes,No,0.0
2408-TZMJL,1.0,Female,78.0,No,Yes,No,No,
0295-QVKPB,1.0,Male,69.0,No,Yes,Yes,No,0.0
0866-QLSIR,1.0,Female,67.0,No,Yes,No,No,0.0
5947-SGKCL,,Male,74.0,No,Yes,No,No,0.0
8739-QOTTN,1.0,Male,77.0,No,Yes,,No,0.0
3126-WQMGH,1.0,Female,79.0,,Yes,No,No,0.0
6465-GSRCL,1.0,Female,68.0,No,Yes,,No,0.0
2603-HVKCG,1.0,Female,76.0,No,Yes,Yes,No,
0322-CHQRU,1.0,Male,80.0,No,Yes,Yes,Yes,2.0
6953-PBDIN,1.0,,72.0,No,Yes,No,No,
3756-VNWDH,1.0,,,,Yes,No,No,
3537-RYBHH,,Female,67.0,No,,No,No,0.0
4273-MBHYA,1.0,Female,74.0,No,Yes,No,No,0.0
2067-QYTCF,1.0,Female,68.0,,Yes,No,No,
9907-SWKKF,1.0,,66.0,,Yes,Yes,No,0.0
3683-QKIUE,1.0,Male,71.0,No,Yes,,Yes,1.0
9259-PACGQ,1.0,Male,,No,Yes,No,No,0.0
6475-VHUIZ,1.0,Female,69.0,,Yes,Yes,No,0.0
2873-ZLIWT,1.0,Male,68.0,,Yes,,No,0.0
6518-LGAOV,1.0,Male,68.0,No,Yes,Yes,No,0.0
4822-YCXMX,1.0,Male,76.0,No,,,No,0.0
4955-VCWBI,1.0,,,,Yes,Yes,No,0.0
0366-NQSHS,1.0,Male,79.0,No,,No,No,0.0
1075-BGWOH,1.0,Female,69.0,No,Yes,No,No,0.0
9492-TOKRI,1.0,Female,,No,Yes,,No,0.0
9033-EOXWV,1.0,Female,71.0,No,Yes,Yes,,0.0
0040-HALCW,1.0,Male,,No,Yes,,No,0.0
7916-VCCPB,1.0,Female,79.0,No,Yes,No,No,0.0
2589-AYCRP,1.0,Male,80.0,No,Yes,No,No,0.0
8591-TKMZH,1.0,Male,65.0,No,Yes,No,No,0.0
3068-OMWZA,,Female,78.0,No,Yes,Yes,No,
5996-EBTKM,1.0,Female,,No,Yes,No,No,0.0
6050-FFXES,1.0,Male,73.0,No,Yes,,No,0.0
3174-AKMAS,1.0,Female,80.0,No,Yes,No,No,0.0
8123-QBNAZ,1.0,,74.0,No,Yes,,No,0.0
3545-CNWRG,1.0,Female,65.0,No,Yes,,No,0.0
9103-CXVOK,1.0,Female,71.0,No,Yes,No,No,
2239-CFOUJ,1.0,Male,74.0,No,Yes,Yes,No,0.0
3023-GFLBR,1.0,Male,76.0,No,Yes,Yes,,0.0
6286-ZHAOK,1.0,Male,73.0,No,Yes,No,,0.0
1589-AGTLK,1.0,,72.0,No,Yes,No,,0.0
0958-YHXGP,,Male,76.0,,Yes,Yes,No,0.0
9933-QRGTX,1.0,Female,69.0,No,Yes,No,No,0.0
2080-SRCDE,1.0,Female,80.0,No,Yes,No,No,0.0
9993-LHIEB,1.0,,78.0,No,Yes,No,No,0.0
6993-YCOBK,1.0,Male,71.0,No,Yes,Yes,No,0.0
4927-WWOOZ,1.0,Male,73.0,No,Yes,Yes,No,0.0
9150-KPBJQ,1.0,Female,79.0,No,Yes,,No,0.0
6859-QNXIQ,,Male,69.0,No,Yes,,No,0.0
0347-UBKUZ,1.0,Female,79.0,No,Yes,,No,0.0
9355-NPPFS,1.0,Female,68.0,No,Yes,Yes,No,0.0
2495-KZNFB,1.0,Female,77.0,,Yes,No,,0.0
0148-DCDOS,1.0,Male,68.0,No,Yes,No,No,0.0
3387-PLKUI,1.0,Female,68.0,,,No,No,0.0
6348-SNFUS,1.0,Female,73.0,No,Yes,Yes,No,0.0
5687-DKDTV,1.0,Male,79.0,No,Yes,No,No,0.0
0584-BJQGZ,1.0,Male,75.0,No,Yes,Yes,,0.0
