Customer ID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
0027-KWYKW,1.0,United States,California,,92557.0,"33.970661, -117.255039",33.970661,-117.255039
7750-EYXWZ,,,California,,92571.0,"33.828289, -117.201666",,-117.201666
2014-MKGMH,1.0,United States,California,Anaheim,,"33.848733, -117.788357",33.848733,-117.788357
3200-MNQTF,1.0,United States,California,Yorba Linda,92887.0,"33.884073, -117.732197",33.884073,-117.732197
7929-DMBCV,,United States,California,Summerland,,,34.420998,-119.60137
3336-JORSO,1.0,United States,California,Santa Barbara,93101.0,"34.419203, -119.710008",34.419203,-119.710008
3580-REOAC,1.0,United States,California,Alpaugh,93201.0,"35.869626, -119.498771",35.869626,-119.498771
5614-DNZCE,1.0,United States,California,Camp Nelson,93208.0,"36.057458, -118.591951",36.057458,-118.591951
1845-CSBRZ,1.0,United States,California,Delano,,"35.772244, -119.209689",35.772244,-119.209689
4334-HOWRP,1.0,,California,Fellows,93224.0,"35.215731, -119.57013",35.215731,-119.57013
2550-AEVRU,1.0,United States,,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473
4906-ZHGPK,1.0,United States,California,,92129.0,"32.961064, -117.134917",32.961064,-117.134917
7207-RMRDB,1.0,United States,,San Diego,92129.0,,,-117.134917
1591-XWLGB,1.0,United States,California,San Diego,92129.0,,32.961064,
2424-WVHPL,1.0,United States,California,,92129.0,"32.961064, -117.134917",32.961064,
4342-HFXWS,1.0,,,Biola,93606.0,"36.798882, -120.019511",36.798882,-120.019511
1866-NXPSP,1.0,United States,California,Selma,93662.0,"36.545322, -119.642281",36.545322,-119.642281
2135-DQWAQ,1.0,United States,California,Squaw Valley,93675.0,"36.719141, -119.202677",36.719141,-119.202677
8207-VVMYB,1.0,United States,California,Fresno,93706.0,"36.654614, -119.903674",36.654614,-119.903674
7469-LKBCI,1.0,United States,California,Jolon,93928.0,"35.930782, -121.189757",35.930782,-121.189757
5016-ETTFF,,,California,San Francisco,94102.0,"37.7795, -122.419233",37.7795,-122.419233
0570-BFQHT,1.0,United States,California,San Francisco,,"37.820894, -122.369725",37.820894,-122.369725
8800-JOOCF,1.0,United States,California,Palo Alto,94304.0,"37.386978, -122.177746",37.386978,-122.177746
8883-ANODQ,1.0,,,Birds Landing,94512.0,"38.140719, -121.838298",38.140719,-121.838298
1023-BQXZE,1.0,,California,Byron,94514.0,"37.83323, -121.601461",37.83323,-121.601461
7596-IIWYC,1.0,United States,California,,94550.0,"37.571748, -121.659562",37.571748,-121.659562
3115-CZMZD,1.0,United States,California,Napa,94558.0,"38.489789, -122.27011",38.489789,
4078-SAYYN,1.0,United States,California,San Ramon,94583.0,,37.766556,-121.976784
2884-GBPFB,1.0,United States,California,Pleasanton,94588.0,"37.685052, -121.912061",37.685052,-121.912061
0475-RIJEP,1.0,United States,California,Berkeley,94704.0,"37.871416, -122.246597",,
4355-CVPVS,1.0,,California,Berkeley,94707.0,"37.897753, -122.279391",37.897753,
8883-GRDWQ,1.0,United States,California,Berkeley,94710.0,"37.872902, -122.303708",37.872902,-122.303708
2446-PLQVO,1.0,United States,California,,,"37.946617, -122.563571",37.946617,-122.563571
1657-DYMBM,1.0,United States,California,Forest Knolls,94933.0,"38.010092, -122.689442",38.010092,-122.689442
1342-JPNKI,1.0,United States,California,Freedom,95019.0,"36.936228, -121.785559",36.936228,
1618-CFHME,1.0,United States,California,Gilroy,95020.0,"37.03889, -121.528955",37.03889,-121.528955
0848-ZGQIJ,1.0,United States,California,San Jose,95128.0,"37.316146, -121.936285",37.316146,-121.936285
6674-KVJHG,1.0,United States,California,San Jose,95135.0,"37.28682, -121.723877",37.28682,-121.723877
1090-ESELR,1.0,United States,California,Glencoe,95232.0,"38.358464, -120.579304",,-120.579304
5286-YHCVC,1.0,United States,California,Columbia,95310.0,"38.085839, -120.37855",38.085839,-120.37855
7839-NUIAA,1.0,United States,California,Escondido,92027.0,"33.141265, -116.967221",33.141265,-116.967221
4163-KIUHY,1.0,,California,Lakewood,90712.0,,33.840524,-118.148403
2212-LYASK,1.0,United States,California,,95439.0,"38.493888, -122.777141",38.493888,-122.777141
9823-EALYC,,United States,California,Nice,95464.0,"39.12334, -122.838198",39.12334,-122.838198
2165-VOEGB,1.0,United States,California,Bayside,,"40.825486, -124.049485",,-124.049485
2612-PHGOX,1.0,United States,California,Loleta,95551.0,"40.665952, -124.240051",40.665952,
9227-YBAXE,1.0,United States,California,Rio Dell,95562.0,"40.485849, -124.163234",,-124.163234
7134-MJPDY,1.0,United States,California,Davis,95618.0,"38.544002, -121.685559",38.544002,-121.685559
7853-OETYL,1.0,United States,,Madison,95653.0,"38.674276, -121.961866",38.674276,-121.961866
6242-MBHPK,1.0,United States,,Pleasant Grove,95668.0,"38.833554, -121.498102",38.833554,-121.498102
6619-RPLQZ,1.0,United States,California,Wheatland,95692.0,,39.043387,-121.409837
5982-FPVQN,1.0,United States,California,Rancho Cordova,95742.0,"38.591134, -121.161585",38.591134,-121.161585
5244-IRFIH,1.0,United States,California,Canyon Dam,95923.0,"40.171312, -121.120605",40.171312,-121.120605
8922-LIEGH,,United States,California,Dobbins,95935.0,"39.381174, -121.21191",39.381174,-121.21191
2868-SNELZ,1.0,United States,California,Forest Ranch,95942.0,"40.077028, -121.494168",40.077028,
3841-CONLJ,1.0,United States,California,Grass Valley,,"39.099204, -121.137962",39.099204,-121.137962
7801-KICAO,1.0,United States,California,Fallbrook,92028.0,,33.362575,-117.299644
0196-JTUQI,1.0,United States,California,Lewiston,96052.0,"40.704293, -122.803899",40.704293,
7124-UGSUR,,United States,California,Palo Cedro,96073.0,"40.582399, -122.195512",40.582399,-122.195512
7605-BDWDC,1.0,United States,California,Round Mountain,,"40.923558, -122.059933",40.923558,-122.059933
0014-BMAQU,1.0,United States,California,San Diego,,"32.957195, -117.202542",32.957195,
7248-VZQLC,1.0,United States,California,San Diego,92130.0,"32.957195, -117.202542",,-117.202542
4316-XCSLJ,1.0,,California,San Diego,92130.0,,,-117.202542
3780-YVMFA,1.0,United States,,San Diego,92130.0,"32.957195, -117.202542",32.957195,-117.202542
4781-ZXYGU,1.0,United States,California,San Diego,,"32.957195, -117.202542",32.957195,-117.202542
7572-KPVKK,1.0,United States,California,San Diego,,"32.898613, -117.202937",32.898613,-117.202937
7398-LXGYX,,United States,California,Hermosa Beach,90254.0,"33.86532, -118.396336",33.86532,-118.396336
0799-DDIHE,1.0,United States,California,Buena Park,90620.0,"33.845706, -118.012204",33.845706,-118.012204
9128-CPXKI,1.0,United States,California,Buena Park,,"33.874224, -117.993368",33.874224,-117.993368
5081-NWSUP,,United States,California,Long Beach,90813.0,"33.781086, -118.199049",33.781086,-118.199049
7594-LZNWR,1.0,United States,California,South Pasadena,91030.0,"34.110444, -118.156957",34.110444,-118.156957
9122-UMROB,1.0,United States,California,Glendale,91202.0,"34.167926, -118.267539",34.167926,-118.267539
6557-BZXLQ,1.0,United States,California,Glendale,,"34.136306, -118.26036",34.136306,-118.26036
4727-MCYZG,,United States,California,Reseda,,"34.200175, -118.540958",34.200175,
0661-KBKPA,1.0,United States,California,Sylmar,91342.0,"34.321621, -118.399841",34.321621,-118.399841
1544-JJMYL,,United States,,,91502.0,"34.177267, -118.31003",34.177267,-118.31003
6178-KFNHS,1.0,United States,California,North Hollywood,91606.0,,,-118.387125
0480-BIXDE,1.0,United States,California,Chino,91710.0,"33.990646, -117.663025",33.990646,-117.663025
6797-UCJHZ,1.0,,California,Claremont,91711.0,"34.127621, -117.717863",34.127621,-117.717863
4791-QRGMF,1.0,United States,,San Diego,92117.0,"32.825086, -117.199424",32.825086,-117.199424
6979-TNDEU,1.0,United States,California,San Diego,92117.0,"32.825086, -117.199424",32.825086,-117.199424
1535-VTJOQ,1.0,United States,California,San Diego,92117.0,"32.825086, -117.199424",32.825086,-117.199424
8241-JUIQO,1.0,United States,,San Diego,,"32.825086, -117.199424",32.825086,-117.199424
6754-WKSHP,1.0,,California,San Diego,92122.0,"32.85723, -117.209774",32.85723,-117.209774
6954-OOYZZ,1.0,United States,California,Desert Center,92239.0,"33.889605, -115.257009",33.889605,-115.257009
7136-RVDTZ,,United States,California,Escondido,92027.0,"33.141265, -116.967221",33.141265,-116.967221
9693-XMUOB,1.0,United States,California,Fallbrook,92028.0,"33.362575, -117.299644",,
2455-USLMV,1.0,United States,California,Wrightwood,92397.0,"34.358321, -117.618263",34.358321,-117.618263
0701-TJSEF,1.0,United States,California,Murrieta,,"33.581045, -117.14719",33.581045,-117.14719
2075-PUEPR,1.0,United States,California,,92567.0,,33.82769,-117.102244
4450-YOOHP,1.0,United States,,Irvine,92606.0,"33.703976, -117.824172",,-117.824172
3012-VFFMN,1.0,United States,California,Corona Del Mar,,,33.600987,-117.862734
6077-BDPXA,1.0,United States,,Midway City,92655.0,,33.744439,-117.98588
4821-WQOYN,,United States,California,Newport Beach,92661.0,"33.601309, -117.902304",33.601309,-117.902304
9786-YWNHU,1.0,United States,,Newport Beach,,"33.62251, -117.927024",33.62251,-117.927024
4177-JPDFU,1.0,United States,California,Santa Ana,92706.0,,,
1101-SSWAG,1.0,United States,California,,93022.0,"34.404544, -119.302118",34.404544,-119.302118
7609-YBPXG,,,California,Santa Barbara,93101.0,"34.419203, -119.710008",34.419203,-119.710008
0282-NVSJS,1.0,,California,Santa Barbara,93110.0,"34.437945, -119.77191",34.437945,
1478-VPOAD,,United States,,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473
6807-SIWJI,1.0,United States,California,Terra Bella,93270.0,"35.939068, -119.043666",,-119.043666
1157-BQCUW,1.0,United States,California,Bradley,93426.0,,,-121.004862
4816-LXZYW,1.0,,California,Palmdale,93591.0,"34.598221, -117.79593",34.598221,-117.79593
3411-WLRSQ,1.0,United States,California,Clovis,93612.0,"36.814539, -119.711868",36.814539,
1335-MXCSE,1.0,United States,California,Cutler,93615.0,,36.497895,-119.285484
8024-XNAFQ,,,California,Dunlap,93621.0,"36.789213, -119.140338",36.789213,-119.140338
4979-HPRFL,,United States,California,,93665.0,"36.959731, -120.653519",36.959731,-120.653519
4104-PVRPS,1.0,United States,,Jolon,93928.0,,35.930782,-121.189757
5032-USPKF,1.0,United States,California,Lockwood,93932.0,"35.989792, -121.055933",35.989792,
2777-PHDEI,,United States,California,,93933.0,"36.689582, -121.758398",,-121.758398
7921-BEPCI,1.0,United States,California,San Lucas,,,36.125529,-120.864443
3134-DSHVC,1.0,United States,,San Francisco,94123.0,"37.800254, -122.436975",37.800254,-122.436975
3677-TNKIO,1.0,United States,California,San Francisco,94130.0,"37.820894, -122.369725",,-122.369725
0774-IFUVM,,United States,California,San Mateo,94402.0,"37.556634, -122.317723",37.556634,-122.317723
9948-YPTDG,1.0,United States,California,,94520.0,"38.013825, -122.039144",38.013825,-122.039144
5567-GZKQY,1.0,United States,California,Napa,94559.0,"38.232389, -122.324944",,-122.324944
7748-UMTRK,1.0,United States,California,El Sobrante,94803.0,"37.963995, -122.288296",37.963995,
6007-TCTST,1.0,United States,California,San Rafael,94901.0,"37.972662, -122.491452",37.972662,-122.491452
7852-LECYP,1.0,United States,California,Stinson Beach,94970.0,"37.921137, -122.657562",,-122.657562
4188-PCPIG,1.0,United States,,,95032.0,"37.233034, -121.947427",37.233034,-121.947427
6308-CQRBU,1.0,United States,,Moss Landing,95039.0,"36.863303, -121.781632",36.863303,-121.781632
3982-JGSFD,1.0,United States,California,San Jose,95126.0,"37.327069, -121.916819",37.327069,-121.916819
0594-UFTUL,1.0,United States,California,San Jose,95127.0,"37.375156, -121.795867",,-121.795867
5440-VHLUL,1.0,United States,California,Angels Camp,95222.0,"38.071327, -120.632221",38.071327,-120.632221
9541-PWTWO,1.0,United States,California,Sheep Ranch,95250.0,"38.244806, -120.417301",38.244806,-120.417301
8564-LDKFL,1.0,United States,California,Ballico,95303.0,,37.4695,-120.672724
5808-TOTXO,,United States,California,Hickman,95323.0,,37.605926,
2388-LAESQ,1.0,United States,California,Soulsbyville,,"37.990574, -120.261821",37.990574,-120.261821
6925-BAYGL,1.0,,California,Escondido,,"33.141265, -116.967221",,-116.967221
9938-EKRGF,1.0,United States,California,Escondido,92027.0,,33.141265,-116.967221
0111-KLBQG,1.0,United States,California,,95417.0,,39.710591,-123.682799
2722-VOJQL,1.0,United States,California,Philo,95466.0,"39.094102, -123.500853",39.094102,-123.500853
2982-IHMFT,,United States,California,Westport,95488.0,"39.724433, -123.767578",39.724433,-123.767578
1228-FZFRV,1.0,United States,California,,95543.0,"41.867908, -123.794144",41.867908,-123.794144
6407-UTSLV,1.0,United States,California,Piercy,95587.0,"39.955587, -123.681175",39.955587,-123.681175
8039-EQPIM,1.0,United States,California,Carmichael,95608.0,"38.626128, -121.328011",38.626128,-121.328011
4226-KKDON,1.0,United States,,Citrus Heights,95610.0,"38.69508, -121.271616",38.69508,-121.271616
4124-MMETB,1.0,United States,California,Herald,95638.0,"38.313447, -121.123886",38.313447,-121.123886
6994-KERXL,1.0,,California,Newcastle,95658.0,"38.883224, -121.15918",38.883224,-121.15918
1501-SGHBW,,United States,California,,95678.0,"38.759751, -121.288545",38.759751,-121.288545
1422-DGUBX,1.0,United States,,Applegate,95703.0,"38.983388, -120.988814",38.983388,-120.988814
2275-RBYQS,1.0,,,Sacramento,95814.0,"38.584505, -121.491956",38.584505,-121.491956
4703-MQYKT,1.0,United States,California,Sacramento,95819.0,,,-121.437507
7551-DACSP,1.0,United States,California,,,"38.685069, -121.543709",38.685069,-121.543709
9101-BWFSS,1.0,,,Sacramento,95838.0,"38.646096, -121.442433",38.646096,-121.442433
2302-OUZXB,1.0,United States,,,95920.0,"39.449794, -121.936372",39.449794,-121.936372
6784-XYJAE,1.0,United States,,Clipper Mills,95930.0,"39.562239, -121.14836",39.562239,-121.14836
9696-RMYBA,1.0,United States,California,Quincy,95971.0,"39.971228, -121.041166",,-121.041166
9626-VFRGG,1.0,United States,California,Twain,95984.0,"40.022184, -121.062384",40.022184,-121.062384
7883-ROJOC,1.0,United States,,Adin,96006.0,"41.171578, -120.913161",41.171578,-120.913161
2085-JVGAD,,United States,California,Paskenta,96074.0,"39.884395, -122.587513",39.884395,-122.587513
1016-DJTSV,1.0,United States,California,Red Bluff,96080.0,"40.186772, -122.388361",40.186772,-122.388361
7593-JNWRU,1.0,United States,California,Doyle,96109.0,"40.012675, -120.101857",40.012675,-120.101857
7270-BDIOA,1.0,United States,,Sierra City,96125.0,"39.600599, -120.636358",39.600599,-120.636358
1047-NNCBF,1.0,United States,California,Tahoe Vista,,"39.24124, -120.054765",39.24124,
5062-CJJKH,1.0,United States,California,Los Angeles,90007.0,"34.027337, -118.28515",,-118.28515
6645-MXQJT,1.0,United States,California,San Diego,92121.0,"32.898613, -117.202937",32.898613,-117.202937
1430-SFQSA,1.0,United States,,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843
8067-NIOYM,1.0,United States,California,Los Angeles,90039.0,"34.110845, -118.259595",34.110845,-118.259595
0582-AVCLN,1.0,,California,,90230.0,"33.993991, -118.39704",33.993991,-118.39704
9971-ZWPBF,1.0,United States,California,,,"34.019323, -118.391902",34.019323,-118.391902
5884-FBCTL,1.0,United States,California,Montebello,90640.0,"34.015217, -118.109962",34.015217,-118.109962
8200-KLNYW,,United States,California,Lakewood,90713.0,"33.847755, -118.112532",33.847755,-118.112532
6584-VQMYT,1.0,United States,California,Arcadia,,,34.128284,-118.047732
5843-TTHGI,1.0,United States,California,,91304.0,,34.224377,-118.632656
3729-OWRVL,1.0,United States,California,,91381.0,,34.364153,-118.615583
2957-LOLHO,1.0,United States,,,91384.0,"34.506627, -118.699048",34.506627,-118.699048
6339-DKLMK,1.0,,California,Van Nuys,,"34.178483, -118.431791",34.178483,-118.431791
1135-LMECX,1.0,United States,California,North Hollywood,,,34.207295,-118.400022
7180-PISOG,1.0,United States,California,West Covina,91790.0,"34.066964, -117.937007",,-117.937007
3137-LUPIX,,United States,California,Campo,91906.0,"32.673483, -116.472863",32.673483,-116.472863
6952-OMNWB,,United States,California,Chula Vista,91915.0,"32.605012, -116.97595",32.605012,-116.97595
4302-ZYFEL,1.0,United States,California,Spring Valley,91978.0,"32.730264, -116.950963",32.730264,-116.950963
4077-CROMM,1.0,United States,California,Bonsall,92003.0,"33.290907, -117.202895",33.290907,-117.202895
1596-BBVTG,1.0,United States,,Escondido,92029.0,"33.079834, -117.134275",,-117.134275
7217-JYHOQ,1.0,United States,California,Pala,,"33.384345, -117.072619",33.384345,
8884-FEEWR,1.0,United States,California,Vista,92084.0,"33.22784, -117.200024",,-117.200024
1469-LBJQJ,1.0,United States,California,San Diego,92129.0,"32.961064, -117.134917",,-117.134917
8755-OGKNA,,,,Indian Wells,92210.0,"33.537646, -116.291089",33.537646,
5501-TVMGM,1.0,United States,California,Desert Hot Springs,92241.0,"33.832799, -116.250973",33.832799,-116.250973
4182-BGSIQ,1.0,United States,California,North Palm Springs,92258.0,"33.906496, -116.569499",33.906496,-116.569499
3128-YOVTD,,United States,California,Lucerne Valley,92356.0,"34.508417, -116.856103",34.508417,-116.856103
3061-BCKYI,1.0,United States,California,Redlands,92373.0,"34.003243, -117.138286",34.003243,-117.138286
3211-AAPKX,1.0,United States,California,Running Springs,92382.0,"34.186211, -117.07683",34.186211,-117.07683
1197-BVMVG,1.0,United States,California,Victorville,92394.0,"34.567058, -117.362329",34.567058,-117.362329
2778-OCLGR,1.0,United States,,Wrightwood,92397.0,"34.358321, -117.618263",34.358321,-117.618263
7439-DKZTW,1.0,United States,,San Bernardino,92408.0,"34.084909, -117.258107",34.084909,-117.258107
0354-WYROK,1.0,United States,California,,92508.0,,33.885499,-117.324959
3778-FOAQW,1.0,United States,California,Lake Elsinore,,,33.705836,-117.318204
7766-CLTIC,1.0,United States,California,Perris,,,33.787298,-117.320676
6595-YGXIT,1.0,United States,California,,92590.0,"33.475493, -117.219551",33.475493,-117.219551
3889-VWBID,1.0,United States,California,Temecula,92592.0,"33.507255, -117.029473",33.507255,-117.029473
3976-NLDEZ,1.0,United States,California,,92620.0,"33.716136, -117.752574",33.716136,
3181-MIZBN,,United States,California,,92625.0,"33.600987, -117.862734",33.600987,-117.862734
7602-MVRMB,1.0,United States,California,Santa Ana,92705.0,"33.766004, -117.786763",33.766004,-117.786763
2482-CZGBB,1.0,United States,California,Somis,93066.0,"34.297628, -119.014627",34.297628,-119.014627
2607-DHDAK,1.0,United States,California,Coalinga,,,36.186867,-120.387793
7017-VFULY,1.0,United States,California,,,,35.846067,-119.004073
7032-LMBHI,1.0,United States,California,,,"36.217864, -120.080117",36.217864,-120.080117
5707-ORNDZ,,United States,California,Mc Kittrick,93251.0,"35.38381, -119.730885",,-119.730885
6365-HITVU,1.0,United States,California,,93277.0,,36.303793,-119.375646
8626-PTQGE,1.0,United States,California,Woody,93287.0,"35.710244, -118.881679",35.710244,-118.881679
0621-CXBKL,1.0,,California,Boron,93516.0,"34.95703, -117.73045",34.95703,-117.73045
4598-ZADCK,,United States,California,,93551.0,"34.613476, -118.256358",34.613476,-118.256358
0942-KOWSM,1.0,United States,,Palmdale,93591.0,"34.598221, -117.79593",,-117.79593
0214-JHPFW,1.0,United States,California,Helm,93627.0,"36.520537, -120.118055",36.520537,-120.118055
4614-NUVZD,1.0,United States,California,Parlier,93648.0,,36.622237,-119.521126
9534-NSXEM,1.0,United States,California,Daly City,94014.0,"37.691561, -122.445202",,-122.445202
4090-KPJIP,,,,Half Moon Bay,94019.0,,37.45567,
6609-MXJHJ,1.0,United States,California,Loma Mar,94021.0,,37.266388,-122.26308
2657-VPXTA,1.0,United States,California,San Francisco,94104.0,"37.791222, -122.402241",37.791222,-122.402241
1952-DVVSW,,United States,California,Concord,94519.0,"37.990118, -122.012188",,-122.012188
2685-SREOM,1.0,United States,California,Crockett,94525.0,"38.049292, -122.228415",38.049292,
2007-QVGAW,,United States,California,Fairfield,94533.0,"38.287136, -122.02711",38.287136,-122.02711
2696-NARTR,,United States,California,Port Costa,94569.0,"38.035707, -122.196821",38.035707,-122.196821
1472-TNCWL,1.0,United States,California,Vallejo,94590.0,,38.104705,-122.247387
1897-RCFUM,1.0,United States,California,Oakland,94601.0,"37.776523, -122.219268",37.776523,-122.219268
7321-ZNSLA,1.0,United States,California,San Pablo,,"37.980269, -122.342635",37.980269,-122.342635
8016-ZMGMO,1.0,United States,California,San Rafael,,"38.018065, -122.546024",38.018065,-122.546024
2869-ADAWR,1.0,,,Corte Madera,,"37.924014, -122.511694",37.924014,-122.511694
5472-CVMDX,1.0,United States,California,Point Reyes Station,94956.0,"38.060264, -122.830646",38.060264,-122.830646
6862-CQUMB,1.0,,California,,95006.0,"37.171727, -122.142961",37.171727,-122.142961
4816-OKWNX,1.0,United States,California,Morgan Hill,95037.0,"37.161544, -121.649371",37.161544,-121.649371
0932-YIXYU,1.0,United States,California,San Jose,95110.0,"37.34667, -121.910019",37.34667,-121.910019
4299-OPXEJ,,United States,California,Stockton,95206.0,"37.902422, -121.440029",37.902422,-121.440029
4441-NIHPT,1.0,United States,California,Stockton,95209.0,"38.044523, -121.348048",38.044523,-121.348048
1066-JKSGK,1.0,United States,California,Crows Landing,95313.0,"37.435664, -121.049056",37.435664,-121.049056
8865-TNMNX,1.0,United States,California,Merced,95348.0,"37.40122, -120.514191",37.40122,-120.514191
6214-EDAKZ,1.0,United States,California,Modesto,95355.0,"37.672906, -120.946594",37.672906,-120.946594
5499-ECUTN,1.0,United States,California,Modesto,95356.0,"37.716186, -121.025836",37.716186,-121.025836
0402-CQAJN,1.0,United States,California,Winton,95388.0,"37.421299, -120.599587",37.421299,-120.599587
6048-QBXKL,1.0,,California,Cobb,95426.0,,38.838088,-122.73203
4070-OKWVH,1.0,United States,California,Blue Lake,95525.0,,40.94338,-123.831799
4378-BZYFP,1.0,United States,California,,95628.0,"38.652065, -121.25441",38.652065,
2359-KMGLI,1.0,United States,California,Grizzly Flats,95636.0,"38.636102, -120.522149",38.636102,-120.522149
0795-GMVQO,1.0,United States,,Guinda,95637.0,"38.830739, -122.196202",38.830739,-122.196202
9821-POOTN,1.0,,California,Loomis,95650.0,"38.809175, -121.171375",38.809175,-121.171375
7682-AZNDK,1.0,United States,California,Pioneer,95666.0,"38.546999, -120.271114",,
8404-VIOMB,1.0,United States,California,Soda Springs,95728.0,"39.279068, -120.414275",,
1763-KUAAW,,United States,California,Elk Creek,95939.0,,39.53222,-122.594879
1447-PJGGA,1.0,United States,California,Princeton,95970.0,"39.424957, -122.039307",39.424957,
6413-XKKPU,1.0,,California,Williams,95987.0,,39.117537,-122.284654
2386-OWURY,1.0,United States,California,Yuba City,,,,-121.70606
7716-YTYHG,1.0,United States,California,Anderson,96007.0,,40.448632,
5693-PIPCS,1.0,United States,California,,96040.0,"40.789799, -121.474529",40.789799,-121.474529
1240-KNSEZ,1.0,United States,California,Lewiston,96052.0,"40.704293, -122.803899",40.704293,-122.803899
3146-JTQHR,1.0,United States,California,Paskenta,96074.0,,39.884395,-122.587513
7966-YOTQW,1.0,United States,California,Shingletown,96088.0,"40.497441, -121.827524",40.497441,-121.827524
6051-PTVNS,1.0,United States,California,Fallbrook,,"33.362575, -117.299644",33.362575,-117.299644
4672-FOTSD,1.0,United States,California,Los Angeles,90005.0,"34.059281, -118.30742",34.059281,-118.30742
6999-CHVCF,1.0,United States,California,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843
3078-ZKNTS,1.0,United States,California,Los Angeles,90029.0,"34.089953, -118.294824",34.089953,-118.294824
5647-URDKA,1.0,United States,California,Los Angeles,90044.0,"33.952714, -118.292061",33.952714,-118.292061
6650-VJONK,1.0,United States,California,Downey,90240.0,"33.956228, -118.120993",,-118.120993
5839-SUYVZ,1.0,United States,California,Malibu,90263.0,"34.037037, -118.705803",34.037037,
3055-MJDSB,1.0,United States,,Pacific Palisades,90272.0,,,
5343-SGUBI,1.0,United States,California,Lakewood,90712.0,,33.840524,-118.148403
0813-TAXXS,1.0,United States,California,San Pedro,90732.0,"33.744119, -118.31448",33.744119,-118.31448
4489-SNOJF,1.0,United States,,Long Beach,90802.0,"33.752524, -118.210737",33.752524,-118.210737
8073-IJDCM,,United States,California,,90808.0,"33.823943, -118.111335",33.823943,-118.111335
6769-DYBQN,1.0,United States,California,Montrose,,"34.2112, -118.230625",34.2112,-118.230625
2789-HQBOU,1.0,United States,California,Pasadena,91107.0,"34.159007, -118.087353",34.159007,-118.087353
8915-NNTRC,1.0,United States,California,San Marino,91108.0,"34.122671, -118.112911",34.122671,-118.112911
3173-WSSUE,1.0,United States,California,Canyon Country,,"34.422519, -118.420717",34.422519,-118.420717
5553-AOINX,1.0,United States,California,Castaic,91384.0,"34.506627, -118.699048",34.506627,-118.699048
0691-NIKRI,1.0,United States,California,Van Nuys,91411.0,"34.17847, -118.459472",34.17847,-118.459472
6432-TWQLB,1.0,United States,,Burbank,,"34.188339, -118.300942",34.188339,-118.300942
6295-OSINB,1.0,United States,California,El Monte,,"34.079934, -118.046695",34.079934,-118.046695
1814-WFGVS,,United States,,Pomona,,,34.083086,-117.737997
7779-LGOVN,1.0,United States,California,Rosemead,91770.0,,34.065108,-118.082791
9137-UIYPG,1.0,United States,California,San Diego,,"32.787836, -117.232358",32.787836,
4236-UJPWO,,United States,California,San Diego,,"32.787836, -117.232360",32.787836,-117.232376
8473-VUVJN,1.0,United States,California,San Diego,92109.0,"32.787836, -117.232367",32.787836,-117.232376
