Customer ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
8883-ANODQ,1.0,,No,0.0,35.0,None,Yes,20.83,Yes,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,,99.05,3395.8,0.0,,,
1023-BQXZE,1.0,Q3,No,0.0,2.0,Offer E,Yes,26.62,No,Yes,DSL,11.0,No,No,No,No,,,No,Yes,,No,Credit Card,44.95,85.15,0.0,0.0,53.24,138.39000000000001
3722-WPXTK,1.0,Q3,No,0.0,8.0,None,,,No,Yes,Fiber Optic,,Yes,,No,Yes,Yes,,Yes,Yes,,No,Credit Card,100.3,832.35,0.0,0.0,92.56,924.9100000000001
7596-IIWYC,,Q3,Yes,2.0,44.0,None,,,,,Cable,28.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7
3115-CZMZD,1.0,Q3,Yes,,62.0,None,Yes,7.11,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0.0,440.82,6824.17
5590-YRFJT,1.0,Q3,,1.0,33.0,None,Yes,33.19,Yes,Yes,Cable,15.0,No,Yes,No,No,No,No,,Yes,,Yes,Bank Withdrawal,80.6,2656.5,0.0,0.0,1095.27,3751.77
4078-SAYYN,1.0,Q3,No,,4.0,,Yes,49.5,Yes,,Fiber Optic,23.0,No,,No,,,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,424.45,0.0,,198.0,622.45
2884-GBPFB,1.0,Q3,Yes,1.0,27.0,None,Yes,10.6,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15
0475-RIJEP,1.0,Q3,No,0.0,8.0,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,,,1143.0
8883-GRDWQ,1.0,Q3,No,0.0,8.0,Offer E,Yes,42.93,No,Yes,Fiber Optic,9.0,No,No,Yes,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0.0,343.44,
2446-PLQVO,1.0,,,0.0,14.0,None,,,No,Yes,Fiber Optic,24.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0.0,158.34,1424.4399999999998
1657-DYMBM,1.0,Q3,,0.0,12.0,None,No,0.0,No,Yes,DSL,10.0,No,No,Yes,Yes,No,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,43.65,,0.0,0.0,0.0,526.95
1342-JPNKI,1.0,,,0.0,13.0,None,,40.37,No,Yes,Fiber Optic,21.0,No,No,Yes,No,No,,No,,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0.0,524.81,1465.1599999999999
1618-CFHME,1.0,Q3,No,0.0,,None,Yes,3.96,No,Yes,Fiber Optic,27.0,No,No,,No,Yes,Yes,No,,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0.0,,1091.26
5130-IEKQT,1.0,Q3,Yes,1.0,17.0,,Yes,,Yes,Yes,Cable,16.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0.0,479.06,2101.51
1090-ESELR,1.0,Q3,Yes,1.0,3.0,Offer E,,3.29,,Yes,Fiber Optic,9.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,,Bank Withdrawal,80.4,224.05,0.0,0.0,9.870000000000001,
5286-YHCVC,1.0,,No,0.0,21.0,None,Yes,34.62,No,Yes,DSL,14.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0.0,727.02,
7839-NUIAA,1.0,Q3,No,0.0,16.0,None,Yes,38.75,Yes,Yes,Fiber Optic,16.0,,No,No,No,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,,620.0,2149.2
4163-KIUHY,1.0,Q3,,0.0,46.0,None,Yes,6.13,No,Yes,Fiber Optic,30.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,,,,0.0,0.0,281.98,4706.18
2212-LYASK,1.0,Q3,Yes,1.0,,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24.0,No,Yes,,No,No,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,,1640.84,7768.4400000000005
9823-EALYC,1.0,Q3,Yes,1.0,7.0,Offer E,Yes,13.63,No,Yes,Fiber Optic,27.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,,95.41000000000001,772.11
5889-JTMUL,1.0,Q3,Yes,1.0,15.0,None,Yes,45.25,,Yes,Cable,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0.0,678.75,2024.3
2165-VOEGB,1.0,Q3,No,0.0,16.0,None,Yes,19.18,Yes,Yes,Fiber Optic,22.0,No,No,No,,Yes,No,No,Yes,,Yes,Bank Withdrawal,86.6,1281.0,0.0,0.0,,1587.88
9227-YBAXE,1.0,Q3,No,,1.0,None,No,0.0,No,Yes,Cable,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,,Bank Withdrawal,25.2,25.2,0.0,0.0,,25.2
7126-RBHSD,1.0,Q3,No,0.0,1.0,None,Yes,20.06,No,,,24.0,,No,No,No,Yes,No,No,Yes,,Yes,,79.2,,0.0,0.0,20.06,99.26
7853-OETYL,1.0,Q3,Yes,1.0,34.0,None,Yes,,Yes,Yes,Fiber Optic,4.0,,Yes,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,,97.92,3315.4700000000003
6242-MBHPK,1.0,,,0.0,4.0,None,Yes,12.68,No,Yes,Fiber Optic,10.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,,442.85,0.0,0.0,,493.57000000000005
1282-IHQAC,1.0,Q3,No,,2.0,None,Yes,19.27,Yes,Yes,Fiber Optic,18.0,No,No,No,No,Yes,Yes,No,Yes,,Yes,Bank Withdrawal,93.85,170.85,0.0,0.0,,209.39
6619-RPLQZ,1.0,Q3,No,0.0,9.0,None,Yes,30.8,,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0.0,277.2,1009.7
5982-FPVQN,1.0,Q3,No,0.0,5.0,None,,42.33,No,Yes,Fiber Optic,9.0,No,No,Yes,No,,No,No,Yes,Month-to-Month,Yes,,75.55,349.65,0.0,0.0,,561.3
5244-IRFIH,,Q3,No,,22.0,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8.0,No,No,,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,,2082.95,0.0,100.0,883.96,3066.91
2868-SNELZ,1.0,Q3,,0.0,15.0,Offer D,Yes,,Yes,Yes,,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,,0.0,695.7,1842.3500000000001
3841-CONLJ,1.0,,No,0.0,1.0,None,Yes,11.34,Yes,Yes,Fiber Optic,20.0,No,No,No,No,No,No,,Yes,Month-to-Month,Yes,,,74.7,0.0,0.0,11.34,86.04
7511-YMXVQ,1.0,Q3,No,0.0,1.0,None,No,0.0,No,Yes,,26.0,,,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,20.0,0.0,45.8
2229-VWQJH,1.0,Q3,No,0.0,10.0,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,,Bank Withdrawal,95.35,898.35,0.0,0.0,413.7,1312.05
7801-KICAO,1.0,Q3,No,0.0,3.0,None,Yes,30.14,,Yes,DSL,6.0,No,No,No,No,No,,No,No,Month-to-Month,No,,45.0,127.1,,,90.42,227.51999999999998
0196-JTUQI,1.0,Q3,Yes,,12.0,Offer D,Yes,6.97,No,Yes,Fiber Optic,19.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0.0,83.64,1033.8400000000001
7124-UGSUR,1.0,Q3,No,0.0,2.0,,Yes,6.51,,Yes,Fiber Optic,11.0,,Yes,No,,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,,0.0,13.02,178.42000000000002
7605-BDWDC,1.0,Q3,No,0.0,1.0,None,,49.6,Yes,Yes,Fiber Optic,20.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0.0,10.0,49.6,
0014-BMAQU,1.0,Q3,Yes,,13.0,Offer D,Yes,1.47,No,Yes,Fiber Optic,5.0,No,,No,,No,Yes,No,Yes,Month-to-Month,Yes,,89.05,1169.35,0.0,0.0,19.11,1188.4599999999998
7248-VZQLC,1.0,Q3,No,,23.0,Offer D,Yes,31.17,No,Yes,Fiber Optic,,No,,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,,94.75,2293.6,0.0,0.0,716.9100000000001,
4316-XCSLJ,1.0,Q3,,1.0,17.0,,Yes,36.82,Yes,Yes,,6.0,,No,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,,625.94,2089.3900000000003
4713-LZDRV,,Q3,,0.0,,None,Yes,40.93,No,Yes,DSL,2.0,No,No,No,No,No,No,No,,,Yes,Bank Withdrawal,45.05,770.6,0.0,0.0,695.81,1466.4099999999999
3780-YVMFA,1.0,Q3,No,,42.0,None,,9.53,Yes,,Fiber Optic,17.0,No,No,,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0.0,0.0,,3941.6099999999997
4781-ZXYGU,1.0,Q3,No,,1.0,,,,No,Yes,Fiber Optic,16.0,No,No,No,No,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,,0.0,,121.39999999999999
7572-KPVKK,1.0,Q3,No,0.0,1.0,Offer E,Yes,39.78,No,Yes,Cable,12.0,No,No,Yes,No,No,,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0.0,39.78,89.93
7398-LXGYX,1.0,Q3,No,0.0,1.0,Offer E,Yes,34.51,No,Yes,,15.0,No,,No,No,No,No,No,Yes,,,Bank Withdrawal,,69.6,0.0,,34.51,104.10999999999999
0799-DDIHE,1.0,Q3,No,0.0,41.0,None,Yes,27.95,Yes,Yes,Fiber Optic,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,Bank Withdrawal,113.2,4689.5,0.0,0.0,1145.95,5835.45
5081-NWSUP,1.0,,Yes,1.0,32.0,None,Yes,,Yes,Yes,Fiber Optic,23.0,No,,No,No,No,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05,49.57,0.0,191.68,2784.16
7594-LZNWR,1.0,Q3,Yes,1.0,32.0,None,Yes,,Yes,,Fiber Optic,10.0,No,,No,No,,Yes,Yes,Yes,,No,Bank Withdrawal,85.3,2661.1,0.0,0.0,1587.2,4248.3
9122-UMROB,,Q3,Yes,1.0,,None,No,0.0,,Yes,Cable,3.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,,Bank Withdrawal,44.85,2572.95,12.07,0.0,,2560.8799999999997
6557-BZXLQ,1.0,Q3,No,0.0,1.0,Offer E,,15.28,No,Yes,,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,,,15.28,
4727-MCYZG,1.0,Q3,No,0.0,1.0,Offer E,No,0.0,No,Yes,DSL,26.0,,Yes,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0,0.0,0.0,43.3
0661-KBKPA,1.0,,No,0.0,38.0,None,Yes,26.1,,Yes,DSL,27.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,2250.65,0.0,0.0,991.8000000000001,3242.4500000000003
1544-JJMYL,1.0,Q3,,,35.0,None,Yes,15.98,Yes,,,22.0,Yes,Yes,No,Yes,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,0.0,0.0,559.3000000000001,4212.65
6178-KFNHS,1.0,Q3,No,0.0,1.0,Offer E,Yes,15.24,No,Yes,DSL,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,,45.1,45.1,0.0,0.0,15.24,60.34
0480-BIXDE,1.0,Q3,Yes,1.0,30.0,None,Yes,4.65,No,Yes,DSL,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,0.0,0.0,,
6797-UCJHZ,1.0,Q3,,0.0,5.0,Offer E,Yes,12.27,No,Yes,Fiber Optic,20.0,No,No,No,No,,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,,0.0,0.0,61.349999999999994,439.75
4791-QRGMF,,Q3,No,0.0,1.0,,Yes,,Yes,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,,Yes,Month-to-Month,,Bank Withdrawal,93.55,93.55,0.0,0.0,30.17,123.72
6979-TNDEU,1.0,Q3,,1.0,58.0,,,49.38,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,,Yes,No,Yes,,Yes,Bank Withdrawal,108.85,6287.25,0.0,,2864.04,9151.29
1535-VTJOQ,1.0,Q3,No,,16.0,None,Yes,17.51,Yes,,Fiber Optic,7.0,No,No,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,0.0,0.0,280.16,1630.3100000000002
6754-WKSHP,1.0,Q3,Yes,1.0,5.0,,Yes,47.28,Yes,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,40.64,10.0,236.4,577.41
6954-OOYZZ,1.0,Q3,No,0.0,21.0,None,Yes,42.27,No,Yes,Fiber Optic,7.0,No,No,,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,10.2,0.0,887.6700000000001,2907.77
7136-RVDTZ,1.0,Q3,No,,43.0,None,Yes,31.83,No,Yes,Fiber Optic,10.0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,108.15,4600.7,,0.0,1368.6899999999998,5969.389999999999
2455-USLMV,1.0,Q3,No,0.0,1.0,Offer E,,18.2,No,Yes,Fiber Optic,13.0,No,,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,0.0,0.0,18.2,88.75
9824-QCJPK,1.0,Q3,Yes,1.0,29.0,None,Yes,25.78,Yes,Yes,Fiber Optic,28.0,No,,Yes,,,Yes,Yes,No,Month-to-Month,Yes,,98.5,3004.15,37.55,40.0,747.62,3754.22
0701-TJSEF,1.0,Q3,Yes,1.0,13.0,None,,31.7,Yes,Yes,Cable,6.0,No,,,No,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65,48.09,0.0,412.09999999999997,
2075-PUEPR,1.0,Q3,Yes,1.0,7.0,None,Yes,,Yes,Yes,Fiber Optic,17.0,No,No,No,,,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,527.9,32.46,0.0,62.44,557.88
4450-YOOHP,1.0,Q3,No,0.0,2.0,None,Yes,,Yes,Yes,Fiber Optic,28.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,0.0,,,222.39
